Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,3.67,3.80,3.67,3.80,3.669322709163346613,502,3,1842.00,502,100.00,0.13,0.13
29-December-2016,3.86,3.86,3.86,3.86,3.860000000000000000,2500,4,9650.00,2499,99.96,0.00,0.00
28-December-2016,3.68,4.06,3.68,4.06,3.680798004987531172,401,3,1476.00,401,100.00,0.38,0.38
27-December-2016,3.52,3.87,3.52,3.87,3.678433158733773627,4391,8,16152.00,2991,68.12,0.35,0.35
22-December-2016,3.70,3.70,3.70,3.70,3.700000000000000000,1000,2,3700.00,1000,100.00,0.00,0.00
21-December-2016,3.85,3.85,3.85,3.85,3.850000000000000000,3500,6,13475.00,3500,100.00,0.00,0.00
20-December-2016,4.00,4.00,4.00,4.00,4.000000000000000000,6195,7,24780.00,6195,100.00,0.00,0.00
19-December-2016,3.50,3.81,3.50,3.81,3.785159689426078604,12493,9,47288.00,11494,92.00,0.31,0.31
16-December-2016,3.98,3.98,3.63,3.63,3.738666666666666666,750,6,2804.00,500,66.67,0.35,-0.35
13-December-2016,3.80,3.80,3.80,3.80,3.799426934097421203,1396,6,5304.00,1396,100.00,0.00,0.00
9-December-2016,3.70,3.70,3.70,3.70,3.698492462311557788,398,2,1472.00,398,100.00,0.00,0.00
8-December-2016,3.70,3.70,3.60,3.70,3.699800199800199800,2002,6,7407.00,2002,100.00,0.10,0.00
7-December-2016,3.35,3.65,3.35,3.65,3.349336057201225740,979,3,3279.00,979,100.00,0.30,0.30
6-December-2016,3.52,3.52,3.52,3.52,3.518181818181818181,110,1,387.00,110,100.00,0.00,0.00
5-December-2016,3.36,3.36,3.36,3.36,3.360000000000000000,300,2,1008.00,300,100.00,0.00,0.00
1-December-2016,3.21,3.21,3.20,3.20,3.204795204795204795,1001,3,3208.00,1001,100.00,0.01,-0.01
30-November-2016,3.06,3.06,3.06,3.06,3.060000000000000000,500,2,1530.00,500,100.00,0.00,0.00
24-November-2016,3.20,3.20,3.20,3.20,3.200000000000000000,500,1,1600.00,500,100.00,0.00,0.00
22-November-2016,3.26,3.26,3.26,3.26,3.260000000000000000,500,1,1630.00,500,100.00,0.00,0.00
21-November-2016,3.60,3.60,3.43,3.43,3.431859205776173285,4432,3,15210.00,4382,98.87,0.17,-0.17
18-November-2016,3.61,3.61,3.61,3.61,3.610000000000000000,500,1,1805.00,500,100.00,0.00,0.00
16-November-2016,3.80,3.80,3.80,3.80,3.799877099549365014,4882,4,18551.00,4882,100.00,0.00,0.00
15-November-2016,3.99,3.99,3.99,3.99,3.989958922866271109,4382,1,17484.00,4382,100.00,0.00,0.00
11-November-2016,3.85,4.20,3.85,4.20,3.851464910288439700,4403,6,16958.00,4403,100.00,0.35,0.35
10-November-2016,3.85,4.05,3.85,4.05,3.851471594798083504,4383,3,16881.00,4383,100.00,0.20,0.20
9-November-2016,3.85,4.05,3.85,4.05,3.854437599817476614,4383,4,16894.00,4383,100.00,0.20,0.20
8-November-2016,3.85,4.05,3.84,4.05,3.846078431372549019,5100,7,19615.00,5100,100.00,0.21,0.20
7-November-2016,4.04,4.04,3.70,4.04,3.923076923076923076,156,6,612.00,102,65.38,0.34,0.00
4-November-2016,3.85,3.85,3.85,3.85,3.850000000000000000,500,2,1925.00,500,100.00,0.00,0.00
3-November-2016,4.00,4.05,4.00,4.05,4.000000000000000000,2,2,8.00,1,50.00,0.05,0.05
2-November-2016,3.89,3.89,3.89,3.89,3.889108910891089108,1010,3,3928.00,1010,100.00,0.00,0.00
1-November-2016,3.81,4.09,3.81,4.09,3.808823529411764705,476,3,1813.00,476,100.00,0.28,0.28
28-October-2016,4.35,4.35,3.95,3.95,3.970963172804532577,1412,8,5607.00,1212,85.84,0.40,-0.40
27-October-2016,4.15,4.15,4.15,4.15,4.150000000000000000,260,2,1079.00,260,100.00,0.00,0.00
26-October-2016,3.82,4.15,3.82,4.10,4.089455272363818090,10005,11,40915.00,10005,100.00,0.33,0.28
24-October-2016,3.70,3.99,3.70,3.99,3.919744971736558433,15214,14,59635.00,11814,77.65,0.29,0.29
21-October-2016,3.85,3.85,3.80,3.80,3.849865148336829487,10011,9,38541.00,10011,100.00,0.05,-0.05
20-October-2016,3.95,3.95,3.95,3.95,3.948387096774193548,155,2,612.00,155,100.00,0.00,0.00
19-October-2016,3.71,3.99,3.71,3.99,3.715568862275449101,334,5,1241.00,334,100.00,0.28,0.28
18-October-2016,3.61,3.90,3.61,3.90,3.609970023315199289,9007,5,32515.00,9007,100.00,0.29,0.29
17-October-2016,3.76,3.95,3.76,3.80,3.901492537313432835,6030,8,23526.00,4531,75.14,0.19,0.04
14-October-2016,3.95,3.95,3.95,3.95,3.950000000000000000,800,2,3160.00,800,100.00,0.00,0.00
13-October-2016,3.95,3.95,3.77,3.95,3.915827338129496402,13900,9,54430.00,13000,93.53,0.18,0.00
10-October-2016,3.95,3.95,3.95,3.95,3.949815649324047521,4882,3,19283.00,4882,100.00,0.00,0.00
7-October-2016,3.80,4.15,3.80,4.15,3.895726955119591507,3721,6,14496.00,3721,100.00,0.35,0.35
5-October-2016,4.00,4.00,3.88,4.00,3.882235528942115768,501,3,1945.00,501,100.00,0.12,0.00
5-October-2016,4.00,4.00,3.88,4.00,3.882235528942115768,501,3,1945.00,501,100.00,0.12,0.00
4-October-2016,3.95,3.95,3.61,3.89,3.800186915887850467,5350,22,20331.00,3250,60.75,0.34,-0.06
3-October-2016,3.60,3.88,3.60,3.88,3.599144079885877318,701,3,2523.00,701,100.00,0.28,0.28
30-September-2016,3.60,3.90,3.60,3.90,3.594059405940594059,101,4,363.00,101,100.00,0.30,0.30
29-September-2016,3.87,3.87,3.87,3.87,3.870000000000000000,8000,7,30960.00,8000,100.00,0.00,0.00
28-September-2016,3.80,3.89,3.80,3.85,3.868825764429165912,11054,19,42766.00,10976,99.29,0.09,0.05
27-September-2016,3.50,3.75,3.50,3.75,3.581378081378081378,13468,14,48234.00,11369,84.41,0.25,0.25
26-September-2016,3.80,4.00,3.80,4.00,3.800039992001599680,5001,3,19004.00,5000,99.98,0.20,0.20
23-September-2016,3.30,3.55,3.30,3.55,3.417083333333333333,24000,14,82010.00,22000,91.67,0.25,0.25
22-September-2016,3.85,4.00,3.84,4.00,3.844479004665629860,4501,6,17304.00,4500,99.98,0.16,0.15
21-September-2016,4.24,4.24,4.24,4.24,4.000000000000000000,1,1,4.00,1,100.00,0.00,0.00
20-September-2016,3.35,4.00,3.35,4.00,3.583333333333333333,156,4,559.00,156,100.00,0.65,0.65
19-September-2016,4.00,4.00,4.00,4.00,4.000000000000000000,1,1,4.00,1,100.00,0.00,0.00
16-September-2016,3.54,3.95,3.54,3.95,3.540000000000000000,5000,5,17700.00,5000,100.00,0.41,0.41
15-September-2016,4.00,4.00,3.80,3.80,3.818181818181818181,275,4,1050.00,250,90.91,0.20,-0.20
14-September-2016,3.80,3.80,3.80,3.80,3.800000000000000000,1700,6,6460.00,1700,100.00,0.00,0.00
12-September-2016,4.33,4.33,4.33,4.33,4.000000000000000000,1,1,4.00,1,100.00,0.00,0.00
9-September-2016,3.50,3.80,3.50,3.80,3.500000000000000000,2,2,7.00,2,100.00,0.30,0.30
8-September-2016,3.82,3.82,3.82,3.82,3.815920398009950248,201,2,767.00,201,100.00,0.00,0.00
7-September-2016,3.80,3.80,3.50,3.80,3.684090909090909090,4400,21,16210.00,4400,100.00,0.30,0.00
6-September-2016,3.15,3.80,3.15,3.80,3.180952380952380952,105,2,334.00,105,100.00,0.65,0.65
2-September-2016,3.60,3.60,3.60,3.60,3.600000000000000000,300,2,1080.00,300,100.00,0.00,0.00
1-September-2016,3.56,3.90,3.40,3.90,3.550458715596330275,4905,19,17415.00,4203,85.69,0.50,0.34
31-August-2016,4.00,4.00,3.55,3.55,3.560975609756097560,205,3,730.00,200,97.56,0.45,-0.45
30-August-2016,3.85,3.85,3.85,3.85,3.833333333333333333,6,2,23.00,6,100.00,0.00,0.00
29-August-2016,3.50,3.50,3.50,3.50,3.500000000000000000,700,3,2450.00,700,100.00,0.00,0.00
26-August-2016,3.85,3.85,3.85,3.85,3.850000000000000000,27200,13,104720.00,25700,94.49,0.00,0.00
25-August-2016,4.00,4.10,3.97,3.97,3.982837837837837837,7400,14,29473.00,7400,100.00,0.13,-0.03
24-August-2016,3.83,4.00,3.83,4.00,3.859504132231404958,1210,6,4670.00,1110,91.74,0.17,0.17
22-August-2016,3.60,3.60,3.30,3.60,3.499443826473859844,899,6,3146.00,600,66.74,0.30,0.00
19-August-2016,3.60,3.60,3.60,3.60,3.599789362822538177,1899,3,6836.00,1899,100.00,0.00,0.00
17-August-2016,3.95,3.95,3.59,3.60,3.614906832298136645,805,9,2910.00,800,99.38,0.36,-0.35
16-August-2016,3.74,3.75,3.74,3.75,3.742857142857142857,175,3,655.00,100,57.14,0.01,0.01
12-August-2016,3.50,3.95,3.22,3.95,3.354632587859424920,313,3,1050.00,312,99.68,0.73,0.45
10-August-2016,3.59,3.95,3.59,3.95,3.631542699724517906,1452,10,5273.00,1452,100.00,0.36,0.36
9-August-2016,3.90,4.10,3.60,4.10,3.782503037667071688,1646,13,6226.00,1000,60.75,0.50,0.20
8-August-2016,3.80,4.00,3.80,4.00,3.800199800199800199,1001,2,3804.00,1000,99.90,0.20,0.20
3-August-2016,4.00,4.00,4.00,4.00,4.000000000000000000,112,3,448.00,112,100.00,0.00,0.00
2-August-2016,4.00,4.10,3.62,4.10,3.717847025495750708,1765,19,6562.00,1401,79.38,0.48,0.10
1-August-2016,4.26,4.26,4.26,4.26,4.260000000000000000,100,3,426.00,100,100.00,0.00,0.00
29-July-2016,3.69,4.27,3.61,4.27,3.677472984206151288,2406,5,8848.00,2406,100.00,0.66,0.58
28-July-2016,3.60,3.80,3.60,3.80,3.690602836879432624,9024,6,33304.00,8974,99.45,0.20,0.20
27-July-2016,3.25,3.79,3.25,3.79,3.295454545454545454,44,2,145.00,44,100.00,0.54,0.54
26-July-2016,4.15,4.15,3.72,3.89,3.787142857142857142,1400,5,5302.00,1310,93.57,0.43,-0.26
25-July-2016,3.85,4.27,3.85,4.27,4.023219814241486068,2584,10,10396.00,2584,100.00,0.42,0.42
21-July-2016,3.60,3.60,3.60,3.60,3.600000000000000000,50,1,180.00,50,100.00,0.00,0.00
20-July-2016,3.52,3.52,3.52,3.52,3.520000000000000000,2000,2,7040.00,2000,100.00,0.00,0.00
19-July-2016,3.90,3.90,3.60,3.60,3.637666831438457736,4046,11,14718.00,3536,87.39,0.30,-0.30
18-July-2016,4.15,4.15,3.58,3.58,3.584119106699751861,2015,4,7222.00,2015,100.00,0.57,-0.57
15-July-2016,4.50,4.50,3.75,3.75,4.093919029667267661,6101,12,24977.00,4500,73.76,0.75,-0.75
14-July-2016,3.53,3.99,3.53,3.99,3.943639291465378421,9936,16,39184.00,8936,89.94,0.46,0.46
13-July-2016,3.90,3.90,3.33,3.33,3.610000000000000000,100,2,361.00,50,50.00,0.57,-0.57
12-July-2016,4.00,4.00,3.50,3.50,3.750000000000000000,20,2,75.00,20,100.00,0.50,-0.50
11-July-2016,3.50,4.39,3.50,3.89,3.761980830670926517,626,12,2355.00,626,100.00,0.89,0.39
8-July-2016,4.02,4.03,3.97,4.00,4.010000000000000000,500,5,2005.00,200,40.00,0.06,-0.02
