Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,337.60,344.50,337.00,338.15,341.136000000000000000,1500,97,511704.00,812,54.13,7.50,0.55
29-December-2016,335.20,336.95,333.00,334.55,334.629126213592233009,515,48,172334.00,335,65.05,3.95,-0.65
28-December-2016,335.10,340.00,333.00,334.60,336.109863672814755412,1247,84,419129.00,644,51.64,7.00,-0.50
27-December-2016,335.00,339.50,324.80,334.25,330.959979074025634318,3823,286,1265260.00,996,26.05,14.70,-0.75
26-December-2016,350.00,350.00,323.70,324.55,330.299292525376807136,3251,191,1073803.00,2531,77.85,26.30,-25.45
23-December-2016,338.00,340.30,335.10,336.00,337.037979094076655052,2870,166,967299.00,1994,69.48,5.20,-2.00
22-December-2016,343.00,345.00,338.10,338.85,342.230261182827979585,3331,245,1139969.00,786,23.60,6.90,-4.15
21-December-2016,346.75,349.00,342.70,344.10,346.327658095899930507,2878,181,996731.00,930,32.31,6.30,-2.65
20-December-2016,355.00,355.00,345.55,348.95,350.109947643979057591,1146,89,401226.00,594,51.83,9.45,-6.05
19-December-2016,355.00,356.00,346.05,349.90,351.706727135298563869,1323,104,465308.00,990,74.83,9.95,-5.10
16-December-2016,351.60,356.40,350.20,352.45,352.407027027027027027,1850,107,651953.00,1308,70.70,6.20,0.85
15-December-2016,353.40,367.00,349.00,351.75,357.872486434727098627,6266,389,2242429.00,1277,20.38,18.00,-1.65
14-December-2016,358.55,358.65,345.75,350.55,352.511842105263157894,760,53,267909.00,567,74.61,12.90,-8.00
13-December-2016,351.40,365.00,351.00,356.55,360.479742521772056039,2641,172,952027.00,844,31.96,14.00,5.15
12-December-2016,355.80,355.85,351.15,351.60,353.262693156732891832,453,37,160028.00,359,79.25,4.70,-4.20
9-December-2016,354.10,364.00,350.10,351.90,353.467736309731426578,2867,188,1013392.00,1591,55.49,13.90,-2.20
8-December-2016,354.75,356.00,350.50,352.40,353.565912117177097203,751,49,265528.00,475,63.25,5.50,-2.35
7-December-2016,359.30,359.30,345.00,348.55,350.454163162321278385,1189,61,416690.00,964,81.08,14.30,-10.75
6-December-2016,353.15,364.45,349.90,355.55,358.859591836734693877,2450,161,879206.00,962,39.27,14.55,2.40
5-December-2016,330.00,353.90,330.00,353.10,346.635789473684210526,475,65,164652.00,204,42.95,23.90,23.10
2-December-2016,355.00,356.40,346.00,347.15,351.045860631328171530,1679,135,589406.00,836,49.79,10.40,-7.85
1-December-2016,363.90,371.00,353.00,354.65,361.970162224797219003,3452,238,1249521.00,719,20.83,18.00,-9.25
30-November-2016,340.50,375.00,340.50,362.00,362.150785299505046962,25659,1220,9292427.00,7026,27.38,34.50,21.50
29-November-2016,339.50,343.55,339.50,342.15,341.684191829484902309,2815,101,961841.00,2370,84.19,4.05,2.65
28-November-2016,335.00,339.00,331.30,337.25,335.299088145896656534,1645,103,551567.00,1055,64.13,7.70,2.25
25-November-2016,327.95,333.50,327.95,331.70,331.684539767649687220,1119,75,371155.00,762,68.10,5.55,3.75
24-November-2016,335.00,336.90,324.90,327.30,329.564962279966471081,10737,566,3538539.00,1828,17.03,12.00,-7.70
23-November-2016,309.10,328.00,308.00,324.75,319.265782493368700265,1885,138,601816.00,858,45.52,20.00,15.65
22-November-2016,315.00,316.60,307.00,310.30,310.452898550724637681,1104,77,342740.00,588,53.26,9.60,-4.70
21-November-2016,322.00,327.50,305.50,310.15,310.965486920202242251,4549,303,1414582.00,2317,50.93,22.00,-11.85
18-November-2016,316.05,329.20,316.05,326.55,323.328593996840442338,2532,179,818668.00,1744,68.88,13.15,10.50
