Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,99.90,102.80,98.55,102.80,102.045749513303049967,6164,97,629010.00,4610,74.79,4.25,2.90
29-December-2016,96.60,99.00,96.55,97.95,97.544388609715242881,1194,20,116468.00,844,70.69,2.45,1.35
28-December-2016,97.70,99.70,97.70,98.05,97.903517587939698492,995,11,97414.00,894,89.85,2.00,0.35
27-December-2016,96.10,99.00,96.05,97.90,98.005138746145940390,1946,42,190718.00,1200,61.66,2.95,1.80
26-December-2016,98.30,102.45,96.25,98.15,98.102941176470588235,3264,59,320208.00,2477,75.89,6.20,-0.15
23-December-2016,97.55,102.90,97.00,100.05,99.999485596707818930,1944,41,194399.00,1045,53.76,5.90,2.50
22-December-2016,101.05,102.00,97.00,98.90,98.726590823852981622,7999,111,789714.00,4888,61.11,5.00,-2.15
21-December-2016,94.30,100.50,94.30,99.45,99.657948717948717948,3900,72,388666.00,2029,52.03,6.20,5.15
20-December-2016,97.30,98.00,95.00,95.75,96.286254728877679697,1586,58,152710.00,1118,70.49,3.00,-1.55
19-December-2016,103.00,103.00,98.75,98.75,99.671762032637884734,4841,73,482511.00,4210,86.97,4.25,-4.25
16-December-2016,103.30,103.95,98.50,103.90,102.111111111111111111,1836,25,187476.00,1332,72.55,5.45,0.60
15-December-2016,104.95,104.95,101.70,102.75,103.466307277628032345,2226,40,230316.00,1566,70.35,3.25,-2.20
14-December-2016,108.25,108.25,105.00,105.00,105.686862244897959183,1568,31,165717.00,1312,83.67,3.25,-3.25
13-December-2016,107.50,109.40,107.00,107.80,107.633904418394950405,1109,25,119366.00,741,66.82,2.40,0.30
12-December-2016,110.60,111.00,108.10,108.40,109.779282631343949992,6719,103,737607.00,5045,75.09,2.90,-2.20
9-December-2016,109.50,113.75,107.00,113.75,111.754100100843904251,18841,280,2105559.00,8001,42.47,6.75,4.25
8-December-2016,103.20,108.35,103.20,108.35,106.158736426456071076,10130,132,1075388.00,7140,70.48,5.15,5.15
7-December-2016,102.00,103.95,102.00,103.20,103.250695088044485634,2158,57,222815.00,1854,85.91,1.95,1.20
6-December-2016,105.20,105.20,102.50,102.95,103.410546139359698681,3186,92,329466.00,2522,79.16,2.70,-2.25
5-December-2016,105.00,106.60,101.80,103.55,103.556619911050290797,5846,90,605392.00,4611,78.87,4.80,-1.45
2-December-2016,116.00,116.00,105.70,105.70,106.934026649333766655,9231,95,987108.00,6754,73.17,10.30,-10.30
1-December-2016,116.80,118.55,110.00,111.25,115.130336904207421207,12882,159,1483109.00,6921,53.73,8.55,-5.55
30-November-2016,113.85,113.85,106.45,113.85,111.716109402387803022,30237,479,3377960.00,15212,50.31,7.40,0.00
29-November-2016,108.45,108.45,108.45,108.45,108.450000000000000000,940,9,101943.00,940,100.00,0.00,0.00
28-November-2016,103.30,103.30,103.30,103.30,103.295918367346938775,98,8,10123.00,98,100.00,0.00,0.00
25-November-2016,97.50,98.40,96.00,98.40,98.084900591080064481,3722,43,365072.00,3632,97.58,2.40,0.90
24-November-2016,89.90,93.75,87.85,93.75,91.547009168971037694,13742,163,1258039.00,7982,58.08,5.90,3.85
23-November-2016,87.90,89.30,85.80,89.30,88.760823110407597942,12635,142,1121493.00,7151,56.60,3.50,1.40
22-November-2016,87.10,91.90,83.45,85.05,86.381172227231740306,27725,274,2394918.00,17671,63.74,8.45,-2.05
21-November-2016,94.50,96.60,87.75,87.75,89.723074367351459106,18059,187,1620309.00,13690,75.81,8.85,-6.75
18-November-2016,95.20,99.50,93.65,97.45,97.694950546590317542,5763,161,563016.00,3120,54.14,5.85,2.25
17-November-2016,98.45,98.45,95.00,96.25,96.460020345879959308,9830,205,948202.00,4492,45.70,3.45,-2.20
16-November-2016,104.00,106.00,94.60,95.70,97.707267943763874044,24326,385,2376827.00,13639,56.07,11.40,-8.30
15-November-2016,112.85,112.85,102.15,103.00,105.491577904384443893,8074,117,851739.00,6173,76.46,10.70,-9.85
11-November-2016,115.55,118.25,110.05,111.80,113.267064624967557747,3853,85,436418.00,2398,62.24,8.20,-3.75
10-November-2016,118.50,124.05,118.50,119.95,120.803897498849163725,6517,163,787279.00,3065,47.03,5.55,1.45
