Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,23.25,24.45,22.75,24.00,23.850694444444444444,1440,16,34345.00,1048,72.78,1.70,0.75
29-December-2016,24.25,24.25,23.50,23.60,23.750836120401337792,3588,18,85218.00,3448,96.10,0.75,-0.65
28-December-2016,23.00,24.35,22.80,23.95,23.643885313048566413,17090,72,404074.00,12835,75.10,1.55,0.95
27-December-2016,22.75,23.00,22.55,22.75,22.931811697574893009,7010,12,160752.00,6510,92.87,0.45,0.00
26-December-2016,23.00,23.90,22.80,22.90,23.320922132846836387,12059,61,281227.00,8547,70.88,1.10,-0.10
23-December-2016,22.85,23.90,22.85,23.20,23.342380882136008260,13558,89,316476.00,8673,63.97,1.05,0.35
22-December-2016,23.25,23.25,22.10,22.80,22.768671579366660027,10042,64,228643.00,7480,74.49,1.15,-0.45
21-December-2016,23.50,23.95,23.10,23.50,23.588416512630930375,4869,21,114852.00,2098,43.09,0.85,0.00
20-December-2016,23.45,24.00,23.00,23.75,23.701465299769201867,18631,67,441582.00,13535,72.65,1.00,0.30
19-December-2016,23.90,24.00,23.65,23.65,23.938363319791062100,8615,25,206229.00,7115,82.59,0.35,-0.25
16-December-2016,23.25,23.90,23.00,23.60,23.408766833905466068,18935,36,443245.00,16815,88.80,0.90,0.35
15-December-2016,23.50,24.25,23.00,23.70,23.830635118306351183,20878,51,497536.00,18034,86.38,1.25,0.20
14-December-2016,24.25,24.45,23.50,23.60,23.969004329004329004,5775,33,138421.00,4105,71.08,0.95,-0.65
13-December-2016,23.25,24.60,23.25,24.05,24.102222222222222222,13050,71,314534.00,11250,86.21,1.35,0.80
12-December-2016,24.25,24.25,23.50,23.55,23.949042145593869731,2610,11,62507.00,2605,99.81,0.75,-0.70
9-December-2016,24.25,24.50,22.50,24.25,23.991124916796094963,4507,42,108128.00,2158,47.88,2.00,0.00
8-December-2016,23.50,24.45,23.05,24.10,23.862907584219059628,11102,48,264926.00,7907,71.22,1.40,0.60
7-December-2016,24.00,24.00,23.00,23.00,23.208923512747875354,2824,22,65542.00,2010,71.18,1.00,-1.00
6-December-2016,24.00,24.00,23.15,23.50,23.472786647314949201,5512,32,129382.00,3968,71.99,0.85,-0.50
5-December-2016,23.70,24.50,23.70,23.75,24.021799813904027648,7523,38,180716.00,5516,73.32,0.80,0.05
2-December-2016,23.50,24.05,23.40,23.75,23.851369246252449811,18879,52,450290.00,16138,85.48,0.65,0.25
1-December-2016,24.30,24.40,23.50,23.90,23.783796722518873135,27155,236,645849.00,10202,37.57,0.90,-0.40
