Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,1720.55,1735.00,1710.00,1733.70,1726.833333333333333333,78,26,134693.00,72,92.31,25.00,13.15
29-December-2016,1715.00,1775.00,1700.00,1713.00,1740.413580246913580246,162,44,281947.00,140,86.42,75.00,-2.00
28-December-2016,1696.75,1725.00,1696.75,1725.00,1716.695652173913043478,69,45,118452.00,50,72.46,28.25,28.25
27-December-2016,1690.00,1740.00,1670.00,1692.75,1693.612068965517241379,116,46,196459.00,93,80.17,70.00,2.75
26-December-2016,1706.00,1721.85,1691.00,1700.75,1701.214285714285714285,14,12,23817.00,9,64.29,30.85,-5.25
23-December-2016,1711.40,1730.00,1711.40,1730.00,1728.611111111111111111,18,18,31115.00,16,88.89,18.60,18.60
22-December-2016,1715.75,1739.40,1681.50,1726.75,1714.826484018264840182,219,76,375547.00,201,91.78,57.90,11.00
21-December-2016,1720.00,1740.00,1717.05,1730.00,1728.045454545454545454,44,19,76034.00,41,93.18,22.95,10.00
20-December-2016,1740.00,1749.85,1686.10,1731.75,1722.616161616161616161,99,34,170539.00,74,74.75,63.75,-8.25
19-December-2016,1750.00,1750.00,1677.15,1725.55,1712.918013856812933025,866,181,1483387.00,519,59.93,72.85,-24.45
16-December-2016,1790.00,1790.00,1771.00,1774.95,1778.234042553191489361,47,23,83577.00,39,82.98,19.00,-15.05
15-December-2016,1760.00,1775.00,1760.00,1770.75,1774.998440249560070388,25004,5,44382061.00,25002,99.99,15.00,10.75
14-December-2016,1785.00,1785.00,1765.55,1771.95,1781.411764705882352941,119,25,211988.00,115,96.64,19.45,-13.05
13-December-2016,1800.00,1800.00,1765.00,1788.80,1793.703125000000000000,64,26,114797.00,55,85.94,35.00,-11.20
12-December-2016,1815.00,1815.00,1765.05,1799.45,1798.022727272727272727,44,21,79113.00,36,81.82,49.95,-15.55
9-December-2016,1817.40,1825.00,1800.00,1816.45,1816.670588235294117647,85,40,154417.00,76,89.41,25.00,-0.95
8-December-2016,1821.00,1825.00,1801.05,1824.75,1812.800000000000000000,50,18,90640.00,32,64.00,23.95,3.75
7-December-2016,1810.00,1879.70,1780.00,1801.25,1833.210526315789473684,399,130,731451.00,208,52.13,99.70,-8.75
6-December-2016,1784.30,1805.00,1784.30,1805.00,1799.571428571428571428,14,7,25194.00,9,64.29,20.70,20.70
5-December-2016,1769.00,1806.85,1726.50,1800.00,1774.350515463917525773,291,63,516336.00,246,84.54,80.35,31.00
2-December-2016,1760.00,1787.40,1751.75,1769.25,1767.105263157894736842,38,21,67150.00,22,57.89,35.65,9.25
1-December-2016,1770.00,1786.75,1765.40,1780.00,1773.263157894736842105,19,10,33692.00,8,42.11,21.35,10.00
30-November-2016,1757.80,1774.90,1749.10,1770.00,1757.338983050847457627,118,25,207366.00,117,99.15,25.80,12.20
