Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,69.00,69.20,68.15,68.95,68.825619733789229454,8189,85,563613.00,4409,53.84,1.05,-0.05
29-December-2016,69.95,69.95,68.70,68.90,69.017002767892447607,2529,12,174544.00,2527,99.92,1.25,-1.05
28-December-2016,68.35,70.85,68.35,69.00,69.300261717820604330,4203,33,291269.00,4086,97.22,2.50,0.65
27-December-2016,74.00,74.00,66.00,68.55,68.769658753709198813,2696,27,185403.00,1327,49.22,8.00,-5.45
26-December-2016,66.10,69.90,66.10,69.00,67.655301641614729724,24549,86,1660870.00,19765,80.51,3.80,2.90
23-December-2016,69.75,69.90,68.70,69.25,69.391025641025641025,312,13,21650.00,181,58.01,1.20,-0.50
22-December-2016,68.75,69.95,68.05,68.65,68.489015459723352318,2458,21,168346.00,1933,78.64,1.90,-0.10
21-December-2016,70.35,71.00,70.20,70.40,70.676012461059190031,1284,15,90748.00,1284,100.00,0.80,0.05
20-December-2016,73.00,73.00,70.00,70.30,71.089740480232840164,4123,33,293103.00,4113,99.76,3.00,-2.70
19-December-2016,73.90,74.00,72.00,72.45,73.277339346110484780,1774,16,129994.00,1565,88.22,2.00,-1.45
16-December-2016,74.00,74.00,73.10,73.30,73.494318181818181818,352,10,25870.00,350,99.43,0.90,-0.70
15-December-2016,73.60,74.00,73.00,74.00,73.619386807061009600,3229,4,237717.00,3229,100.00,1.00,0.40
14-December-2016,75.00,75.95,73.40,73.50,74.961946902654867256,2260,18,169414.00,1756,77.70,2.55,-1.50
13-December-2016,74.95,74.95,72.50,73.45,73.668599594085242099,3449,16,254083.00,3100,89.88,2.45,-1.50
12-December-2016,74.00,75.90,73.05,73.10,73.781387886081026875,2493,43,183937.00,1886,75.65,2.85,-0.90
9-December-2016,72.60,75.80,72.60,75.30,74.921185372005044136,4758,28,356475.00,2306,48.47,3.20,2.70
8-December-2016,74.00,75.85,73.50,74.10,74.727496641289744738,4466,77,333733.00,3992,89.39,2.35,0.10
7-December-2016,73.00,74.00,73.00,73.40,73.701875000000000000,1600,12,117923.00,1600,100.00,1.00,0.40
6-December-2016,72.55,73.95,72.30,73.20,72.749732620320855614,3740,42,272084.00,3670,98.13,1.65,0.65
5-December-2016,70.35,72.00,70.00,71.60,70.239560439560439560,910,8,63918.00,800,87.91,2.00,1.25
2-December-2016,73.50,73.50,70.60,71.00,71.016488845780795344,5155,22,366090.00,4444,86.21,2.90,-2.50
1-December-2016,73.00,73.40,72.90,73.05,72.981481481481481481,810,12,59115.00,688,84.94,0.50,0.05
30-November-2016,73.50,73.50,72.00,72.50,72.472858701582105837,7332,21,531371.00,6274,85.57,1.50,-1.00
29-November-2016,72.50,73.90,72.00,73.10,73.202199528672427336,6365,66,465932.00,5185,81.46,1.90,0.60
28-November-2016,73.00,73.25,71.50,72.50,72.629919137466307277,3710,30,269457.00,2935,79.11,1.75,-0.50
25-November-2016,72.00,72.55,71.45,72.00,71.960047003525264394,851,16,61238.00,550,64.63,1.10,0.00
24-November-2016,70.50,71.70,70.00,70.00,70.474732006125574272,1306,17,92040.00,1206,92.34,1.70,-0.50
23-November-2016,67.40,70.50,67.40,70.50,69.226970770593445527,4516,30,312629.00,4256,94.24,3.10,3.10
22-November-2016,68.50,68.50,66.25,67.75,67.700654422630356765,4737,22,320698.00,3112,65.70,2.25,-0.75
21-November-2016,70.20,70.20,65.25,67.00,67.174073051798693532,10869,60,730115.00,9413,86.60,4.95,-3.20
18-November-2016,69.60,72.40,69.50,70.70,71.314606741573033707,1335,15,95205.00,1115,83.52,2.90,1.10
17-November-2016,70.40,71.20,69.00,69.50,69.801937046004842615,4130,41,288282.00,3390,82.08,2.20,-0.90
16-November-2016,72.95,72.95,71.50,71.70,71.691854233654876741,1866,23,133777.00,1766,94.64,1.45,-1.25
15-November-2016,80.00,80.00,71.00,71.05,72.706452323276811275,9082,37,660320.00,7457,82.11,9.00,-8.95
11-November-2016,84.90,84.90,75.00,75.85,79.646016294572002962,18902,315,1505469.00,7069,37.40,9.90,-9.05
10-November-2016,80.00,83.75,80.00,81.85,81.930858259431835262,6653,64,545086.00,3178,47.77,3.75,1.85
9-November-2016,75.70,79.00,71.00,77.60,75.073989354682619979,22733,134,1706657.00,15983,70.31,8.00,1.90
8-November-2016,82.85,82.85,81.65,82.20,82.453290716257445881,6883,65,567526.00,4312,62.65,1.20,-0.65
7-November-2016,83.90,84.00,82.05,82.95,83.516298860522140487,13866,42,1158037.00,10736,77.43,1.95,-0.95
4-November-2016,81.60,81.60,79.50,81.25,80.402887139107611548,7620,29,612670.00,7020,92.13,2.10,-0.35
3-November-2016,84.00,84.00,82.00,82.10,82.980347184745457816,22236,64,1845151.00,15923,71.61,2.00,-1.90
2-November-2016,86.80,86.80,83.20,83.95,83.858142886555486926,9714,36,814598.00,9498,97.78,3.60,-2.85
1-November-2016,85.00,85.00,83.80,84.05,84.469548737386672130,19523,79,1649099.00,13181,67.52,1.20,-0.95
30-October-2016,88.00,88.25,86.00,86.50,86.980012237405669997,4903,44,426463.00,3082,62.86,2.25,-1.50
28-October-2016,83.25,85.70,83.25,85.70,84.794912142669813794,3813,21,323323.00,3603,94.49,2.45,2.45
27-October-2016,84.80,85.90,84.00,84.65,84.655855855855855855,4440,40,375872.00,3519,79.26,1.90,-0.15
26-October-2016,85.50,85.75,84.10,84.30,84.962658227848101265,1580,16,134241.00,1040,65.82,1.65,-1.20
25-October-2016,87.00,87.00,85.65,85.75,86.383044554455445544,16160,88,1395950.00,13350,82.61,1.35,-1.25
24-October-2016,87.90,87.90,86.10,86.45,86.855538247109945068,12197,64,1059377.00,11747,96.31,1.80,-1.45
21-October-2016,85.05,86.50,85.00,85.50,85.633333333333333333,960,8,82208.00,860,89.58,1.50,0.45
20-October-2016,86.00,87.65,84.75,85.35,85.836258517447862894,4843,32,415705.00,4304,88.87,2.90,-0.65
19-October-2016,86.40,86.50,85.10,85.10,85.340067340067340067,891,12,76038.00,859,96.41,1.40,-1.30
18-October-2016,87.80,87.80,84.00,85.95,85.683469236471460340,8094,58,693522.00,5782,71.44,3.80,-1.85
17-October-2016,88.50,88.50,83.00,83.15,84.169442433019551049,6905,46,581190.00,5880,85.16,5.50,-5.35
14-October-2016,82.10,84.50,82.10,84.50,82.895318253550762756,1901,12,157584.00,1700,89.43,2.40,2.40
13-October-2016,82.60,83.25,81.00,82.10,82.903184358738248709,46697,43,3871330.00,44847,96.04,2.25,-0.50
10-October-2016,86.35,86.35,84.00,84.50,84.678260869565217391,920,14,77904.00,746,81.09,2.35,-1.85
7-October-2016,84.30,85.25,83.55,83.95,84.175845454136083217,22207,100,1869293.00,14319,64.48,1.70,-0.35
6-October-2016,81.20,88.60,81.20,84.20,85.996085749396932319,21971,152,1889420.00,14182,64.55,7.40,3.00
5-October-2016,82.10,87.60,81.00,86.20,83.740474478792235801,59813,360,5008769.00,38008,63.54,6.60,4.10
5-October-2016,82.10,87.60,81.00,86.20,83.740474478792235801,59813,360,5008769.00,38008,63.54,6.60,4.10
4-October-2016,84.00,84.40,82.00,82.80,82.703173834573227098,22717,84,1878768.00,18388,80.94,2.40,-1.20
3-October-2016,81.50,83.50,81.50,82.05,82.097463284379172229,5992,59,491928.00,4294,71.66,2.00,0.55
30-September-2016,81.10,83.80,80.00,82.90,81.893854748603351955,1611,29,131931.00,878,54.50,3.80,1.80
29-September-2016,83.90,85.00,78.50,79.75,80.254351438817458234,11433,110,917548.00,9218,80.63,6.50,-4.15
28-September-2016,83.50,84.80,83.05,83.65,83.833121343169676926,3931,36,329548.00,2511,63.88,1.75,0.15
27-September-2016,84.90,85.60,83.00,83.45,83.984353059177532597,4985,69,418662.00,3114,62.47,2.60,-1.45
26-September-2016,85.25,85.35,83.50,83.60,83.970566727605118829,5470,69,459319.00,3403,62.21,1.85,-1.65
23-September-2016,83.35,88.70,83.00,84.85,86.234711288053401981,33407,345,2880843.00,17649,52.83,5.70,1.50
22-September-2016,86.45,86.50,83.05,83.40,84.252353931533329176,16037,90,1351155.00,14554,90.75,3.45,-3.05
21-September-2016,84.80,86.15,84.65,85.45,85.242467718794835007,2788,21,237656.00,1998,71.66,1.50,0.65
20-September-2016,85.00,85.50,84.50,85.40,85.220991253644314868,1715,20,146154.00,1525,88.92,1.00,0.40
19-September-2016,84.75,85.10,84.00,84.35,84.604011194029850746,2144,26,181391.00,1763,82.23,1.10,-0.40
16-September-2016,86.45,86.50,84.05,84.55,85.325048023749927236,17179,68,1465799.00,15180,88.36,2.45,-1.90
15-September-2016,85.50,87.50,85.00,85.05,85.634323432343234323,7575,183,648680.00,5272,69.60,2.50,-0.45
14-September-2016,83.10,87.20,82.10,84.80,85.835157894736842105,4750,40,407717.00,3899,82.08,5.10,1.70
12-September-2016,84.00,86.70,84.00,85.65,85.394792935444579780,13136,157,1121746.00,9113,69.37,2.70,1.65
9-September-2016,87.25,88.10,84.30,86.15,86.570043437790878063,25784,139,2232122.00,15631,60.62,3.80,-1.10
8-September-2016,88.55,90.75,86.50,86.90,87.568545480755369756,20811,233,1822389.00,16227,77.97,4.25,-1.65
7-September-2016,89.60,91.25,88.65,89.35,89.530885780885780885,3432,39,307270.00,2325,67.74,2.60,-0.25
6-September-2016,92.60,92.70,88.50,90.10,89.986089644513137557,7764,86,698652.00,5463,70.36,4.20,-2.50
2-September-2016,90.75,94.00,89.80,92.45,92.655569328847175491,16941,302,1569678.00,9020,53.24,4.20,1.70
1-September-2016,91.15,93.95,88.15,88.55,90.498831472344845494,7702,114,697022.00,4650,60.37,5.80,-2.60
31-August-2016,92.90,95.85,92.00,92.15,93.232217573221757322,7170,72,668475.00,5468,76.26,3.85,-0.75
30-August-2016,94.00,95.60,93.10,94.35,94.807359307359307359,12012,164,1138826.00,8310,69.18,2.50,0.35
29-August-2016,94.00,96.75,92.40,95.25,94.941829507208519616,19907,513,1890007.00,13627,68.45,4.35,1.25
26-August-2016,94.00,94.30,92.15,92.50,93.135688005886681383,6795,95,632857.00,3855,56.73,2.15,-1.50
25-August-2016,96.35,97.35,92.10,93.55,95.493681262381310198,29278,375,2795864.00,14101,48.16,5.25,-2.80
24-August-2016,92.10,99.20,92.10,95.70,96.382538100953373038,88318,1053,8512313.00,33903,38.39,7.10,3.60
23-August-2016,92.00,98.00,90.55,92.20,93.482393000709387562,105725,1190,9883426.00,46897,44.36,7.45,0.20
22-August-2016,85.50,87.80,82.60,86.90,86.470701103828906519,46384,145,4010857.00,20039,43.20,5.20,1.40
19-August-2016,87.00,87.00,80.10,82.45,82.740988051009137463,19918,194,1648035.00,14220,71.39,6.90,-4.55
18-August-2016,81.20,84.70,81.00,82.50,82.361774580335731414,20850,163,1717243.00,13644,65.44,3.70,1.30
17-August-2016,80.30,82.00,80.30,81.50,81.322501532801961986,1631,22,132637.00,1265,77.56,1.70,1.20
16-August-2016,82.40,83.00,80.25,82.45,80.906351995982927441,7966,69,644500.00,5246,65.85,2.75,0.05
12-August-2016,87.00,87.95,80.20,81.75,82.919636246439552973,114803,228,9519423.00,106695,92.94,7.75,-5.25
11-August-2016,87.90,92.60,85.50,89.40,88.835010812398216621,37457,384,3327493.00,11759,31.39,7.10,1.50
10-August-2016,90.50,91.00,86.00,86.30,88.403856397144987749,9387,39,829847.00,6272,66.82,5.00,-4.20
9-August-2016,88.20,90.70,87.25,89.00,88.286426267956610964,3411,29,301145.00,2840,83.26,3.45,0.80
8-August-2016,91.00,91.00,88.00,88.90,89.494059405940594059,1010,5,90389.00,1005,99.50,3.00,-2.10
5-August-2016,94.00,94.00,86.00,87.15,88.056060503289696805,29486,38,2596421.00,26840,91.03,8.00,-6.85
4-August-2016,86.75,88.00,85.90,86.30,86.910923957845955038,44883,48,3900823.00,43865,97.73,2.10,-0.45
3-August-2016,90.10,92.05,87.50,88.05,88.660586066369105375,5153,37,456868.00,3885,75.39,4.55,-2.05
2-August-2016,94.80,94.80,88.25,92.00,91.435644945324704307,35848,85,3277785.00,32661,91.11,6.55,-2.80
1-August-2016,86.40,90.70,86.40,89.95,90.031601123595505617,1424,25,128205.00,1102,77.39,4.30,3.55
29-July-2016,87.75,91.40,87.50,88.00,88.856189232332027281,6891,93,612308.00,2292,33.26,3.90,0.25
28-July-2016,92.00,92.00,85.30,87.50,88.095516372795969773,9925,112,874348.00,5491,55.32,6.70,-4.50
27-July-2016,89.65,92.00,86.80,87.05,88.770312343075223460,9957,148,883886.00,2729,27.41,5.20,-2.60
26-July-2016,92.40,92.40,87.55,88.05,89.936434901158827539,11736,111,1055494.00,1825,15.55,4.85,-4.35
25-July-2016,90.00,93.75,88.65,91.65,92.275550027876656516,23317,289,2151589.00,14551,62.41,5.10,1.65
