Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,28.80,29.80,28.80,29.45,29.521379310344827586,15950,169,470866.00,10263,64.34,1.00,0.65
29-December-2016,28.50,29.00,28.40,28.60,28.628641613514911222,23204,274,664299.00,12326,53.12,0.60,0.10
28-December-2016,28.65,29.55,28.40,28.70,28.909084789121141741,29709,234,858860.00,17972,60.49,1.15,0.05
27-December-2016,28.20,28.85,28.00,28.60,28.374472142759841983,7341,100,208297.00,4130,56.26,0.85,0.40
26-December-2016,29.45,29.45,28.40,28.60,28.829378151260504201,14875,132,428837.00,9147,61.49,1.05,-0.85
23-December-2016,29.85,30.20,29.10,29.40,29.591777592219657154,20359,239,602459.00,11420,56.09,1.10,-0.45
22-December-2016,29.65,29.65,28.90,29.40,29.208922261484098939,15848,231,462903.00,7694,48.55,0.75,-0.25
21-December-2016,29.60,30.00,29.50,29.60,29.669370100027034333,18495,155,548735.00,9029,48.82,0.50,0.00
20-December-2016,30.15,30.15,29.10,29.55,29.582537044730646724,14442,193,427231.00,8415,58.27,1.05,-0.60
19-December-2016,30.35,30.75,30.00,30.05,30.243425205133599831,9506,93,287494.00,6459,67.95,0.75,-0.30
16-December-2016,30.80,31.05,30.25,30.35,30.660399868356096758,24308,200,745293.00,17248,70.96,0.80,-0.45
15-December-2016,30.05,31.15,30.05,30.95,30.942342293222834087,36682,301,1135027.00,21610,58.91,1.10,0.90
14-December-2016,31.40,31.75,29.40,30.50,30.824912510936132983,36576,340,1127452.00,28221,77.16,2.35,-0.90
13-December-2016,31.55,31.65,31.10,31.30,31.444225134926754047,32425,264,1019579.00,24337,75.06,0.55,-0.25
12-December-2016,32.30,32.30,31.15,31.50,31.739326199809301832,37756,324,1198350.00,28517,75.53,1.15,-0.80
9-December-2016,33.50,33.50,32.20,32.30,32.514092929840001805,44313,694,1440797.00,24674,55.68,1.30,-1.20
8-December-2016,34.00,34.30,32.25,32.50,33.677605142275316923,128659,1197,4332927.00,57176,44.44,2.05,-1.50
7-December-2016,32.00,32.65,31.90,32.00,32.234379600730227901,16981,285,547372.00,8538,50.28,0.75,0.00
6-December-2016,32.70,33.30,31.85,32.00,32.606342105263157894,38000,325,1239041.00,22984,60.48,1.45,-0.70
5-December-2016,32.70,32.70,31.55,32.25,32.226032231502176214,17002,354,547907.00,7280,42.82,1.15,-0.45
2-December-2016,33.40,33.75,32.30,32.50,33.135777283217936036,48528,340,1608013.00,23926,49.30,1.45,-0.90
1-December-2016,34.55,34.70,33.20,33.65,33.911548464539361808,39988,420,1356055.00,23770,59.44,1.50,-0.90
30-November-2016,33.70,34.20,33.60,33.85,33.923596383524946980,53754,638,1823529.00,29754,55.35,0.60,0.15
29-November-2016,34.25,35.00,33.35,33.65,34.237949897870542107,42593,788,1458297.00,23402,54.94,1.65,-0.60
28-November-2016,34.05,34.55,33.60,33.80,34.119371969522050334,73627,850,2512107.00,41612,56.52,0.95,-0.25
25-November-2016,34.45,35.00,34.00,34.25,34.560930993814234481,83094,895,2871806.00,49170,59.17,1.00,-0.20
24-November-2016,33.55,35.95,32.15,34.05,35.175104619475071937,406951,2767,14314544.00,191688,47.10,3.80,0.50
23-November-2016,31.50,33.00,31.50,32.70,32.734112625091875388,70748,422,2315873.00,38209,54.01,1.50,1.20
22-November-2016,31.60,32.05,30.65,31.25,31.227945080785860578,26366,258,823356.00,11848,44.94,1.40,-0.35
21-November-2016,32.25,32.70,31.05,31.60,31.831327670284725499,50856,419,1618814.00,25895,50.92,1.65,-0.65
18-November-2016,31.50,32.50,30.70,31.80,31.725696371101986460,36044,328,1143521.00,16685,46.29,1.80,0.30
17-November-2016,33.35,33.55,31.60,31.90,32.637017974184727974,24869,249,811650.00,9745,39.19,1.95,-1.45
16-November-2016,32.45,33.40,30.20,32.95,32.429038940240569568,57447,527,1862951.00,20684,36.01,3.20,0.50
15-November-2016,33.70,33.95,30.70,31.55,31.642909692845319109,54370,580,1720425.00,25179,46.31,3.25,-2.15
11-November-2016,34.95,36.25,33.75,34.10,34.675647437654151822,58384,576,2024503.00,24094,41.27,2.50,-0.85
10-November-2016,37.80,39.30,35.35,36.15,37.397539658189115454,241186,1738,9019763.00,97613,40.47,3.95,-1.65
9-November-2016,33.55,38.70,33.55,37.95,35.969978645898756437,230869,1250,8304353.00,90597,39.24,5.15,4.40
8-November-2016,40.45,40.45,36.80,37.25,37.856223004319308910,250040,2010,9465570.00,82069,32.82,3.65,-3.20
7-November-2016,39.15,40.80,37.50,40.15,39.476829891488666235,651637,4258,25724563.00,169247,25.97,3.30,1.00
4-November-2016,35.50,37.40,34.90,37.40,36.751052543671203211,1389016,5856,51047800.00,463310,33.36,2.50,1.90
3-November-2016,26.50,31.20,26.45,31.20,30.854610896294275888,186981,750,5769226.00,116202,62.15,4.75,4.70
2-November-2016,26.00,26.65,25.30,26.00,25.875572201414898044,12015,128,310895.00,6439,53.59,1.35,0.00
1-November-2016,26.55,26.55,26.20,26.35,26.327601333567292507,17097,131,450123.00,8324,48.69,0.35,-0.20
30-October-2016,26.90,26.90,26.35,26.65,26.633977455716586151,6210,59,165397.00,4050,65.22,0.55,-0.25
28-October-2016,26.40,26.65,25.50,25.85,26.191262541806020066,19136,201,501196.00,11470,59.94,1.15,-0.55
