Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,133.40,144.00,133.40,141.35,139.511373786696837968,33586,676,4685629.00,17097,50.91,10.60,7.95
29-December-2016,131.80,132.00,130.75,131.80,131.353256212510711225,4668,79,613157.00,3127,66.99,1.25,0.00
28-December-2016,131.30,133.80,130.00,130.40,131.977883633889077917,11756,220,1551532.00,6302,53.61,3.80,-0.90
27-December-2016,131.10,135.50,129.00,130.90,131.205878256024515949,7179,210,941927.00,2952,41.12,6.50,-0.20
26-December-2016,139.00,139.20,131.00,132.40,134.892743854084060269,10088,265,1360798.00,3124,30.97,8.20,-6.60
23-December-2016,139.65,141.70,138.30,138.95,140.557250715959385576,19205,321,2699402.00,2808,14.62,3.40,-0.70
22-December-2016,142.45,144.05,140.40,141.00,142.632947752503687601,12881,216,1837255.00,2500,19.41,3.65,-1.45
21-December-2016,143.35,145.40,142.25,142.60,143.945220360024829298,12888,313,1855166.00,2112,16.39,3.15,-0.75
20-December-2016,147.00,147.00,143.00,144.40,145.023595861486486486,18944,384,2747327.00,4262,22.50,4.00,-2.60
19-December-2016,141.80,146.70,141.20,145.40,145.081156616145329463,18606,353,2699380.00,6846,36.79,5.50,3.60
16-December-2016,141.55,142.90,141.05,141.60,141.898873711957824107,8346,160,1184288.00,2854,34.20,1.85,0.05
15-December-2016,141.50,144.60,141.25,141.95,143.151401555418788116,17873,411,2558545.00,1807,10.11,3.35,0.45
14-December-2016,143.00,146.00,141.85,142.60,144.031730589335827876,26725,465,3849248.00,3669,13.73,4.15,-0.40
13-December-2016,144.35,144.35,141.00,142.40,142.272444910807974816,23825,406,3389641.00,5079,21.32,3.35,-1.95
12-December-2016,144.10,146.00,143.10,143.80,144.565186584789796882,8468,191,1224178.00,2986,35.26,2.90,-0.30
9-December-2016,147.65,148.00,143.60,144.20,145.391946016543317370,22970,391,3339653.00,9816,42.73,4.40,-3.45
8-December-2016,148.05,149.00,145.80,146.30,147.155207849897235298,15083,359,2219542.00,6933,45.97,3.20,-1.75
7-December-2016,150.00,151.90,143.55,145.00,147.590138019091627652,32894,739,4854830.00,9900,30.10,8.35,-5.00
6-December-2016,153.00,153.75,149.00,149.75,151.207574224021592442,11856,225,1792717.00,5060,42.68,4.75,-3.25
5-December-2016,148.30,153.80,146.25,150.20,150.671882807176924823,44030,1113,6634083.00,15265,34.67,7.55,1.90
2-December-2016,149.00,149.00,145.05,146.60,147.028159767811485039,28942,601,4255289.00,9931,34.31,3.95,-2.40
1-December-2016,153.80,157.00,148.75,151.10,152.428352697469152481,77721,1353,11846884.00,22011,28.32,8.25,-2.70
30-November-2016,145.95,158.25,145.15,153.40,151.858131168711373489,314389,5476,47742526.00,79476,25.28,13.10,7.45
29-November-2016,130.95,136.00,130.95,134.95,133.238971124930658958,34251,491,4563568.00,10887,31.79,5.05,4.00
28-November-2016,125.00,131.90,124.00,130.00,128.286664059444661712,20456,368,2624232.00,5553,27.15,7.90,5.00
25-November-2016,121.95,125.60,118.50,124.35,123.620484148439420004,16276,215,2012047.00,4948,30.40,7.10,2.40
24-November-2016,114.50,121.95,112.85,119.70,118.887068381855111712,14770,279,1755962.00,6691,45.30,9.10,5.20
23-November-2016,105.30,116.40,104.35,114.80,109.725774668702891768,40598,727,4454647.00,9797,24.13,12.05,9.50
22-November-2016,101.15,104.50,99.00,103.25,101.474793174767321613,15472,294,1570018.00,6506,42.05,5.50,2.10
21-November-2016,101.05,102.00,95.25,97.20,99.654279797514956281,17384,285,1732390.00,8278,47.62,6.75,-3.85
18-November-2016,109.00,109.45,100.35,102.50,104.621216545012165450,10275,237,1074983.00,5351,52.08,9.10,-6.50
17-November-2016,111.60,111.65,107.00,108.75,109.144115004492362982,11130,203,1214774.00,5844,52.51,4.65,-2.85
16-November-2016,116.40,116.40,112.10,112.90,113.975966562173458725,5742,155,654450.00,2469,43.00,4.30,-3.50
15-November-2016,124.00,124.00,114.00,116.00,118.379334794379270336,15514,337,1836537.00,5853,37.73,10.00,-8.00
11-November-2016,134.50,134.50,125.05,126.35,129.431777147278823832,11631,251,1505421.00,5778,49.68,9.45,-8.15
10-November-2016,136.25,139.70,134.20,137.25,137.460411899313501144,32775,317,4505265.00,14918,45.52,5.50,1.00
9-November-2016,132.00,134.10,120.00,132.35,126.994939879759519038,19960,392,2534819.00,6660,33.37,14.10,0.35
