Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,31.45,31.45,30.10,30.35,30.574023992788294847,14421,102,440908.00,9044,62.71,1.35,-1.10
29-December-2016,30.70,31.20,30.20,30.55,30.650663297536323436,6332,155,194080.00,3629,57.31,1.00,-0.15
28-December-2016,31.80,31.80,30.10,30.25,30.621202966218071958,18205,135,557459.00,11640,63.94,1.70,-1.55
27-December-2016,31.70,31.70,30.25,30.85,31.174016544664643218,16803,225,523817.00,9847,58.60,1.45,-0.85
26-December-2016,31.40,31.40,29.90,30.10,30.321616501789097032,14253,78,432174.00,6985,49.01,1.50,-1.30
23-December-2016,31.15,31.20,29.85,30.30,30.241320734685210744,9419,113,284843.00,4357,46.26,1.35,-0.85
22-December-2016,30.70,30.85,30.00,30.25,30.213868416322128348,22252,93,672319.00,16873,75.83,0.85,-0.45
21-December-2016,31.00,31.30,30.75,30.85,31.016730801405387318,11954,68,370774.00,9381,78.48,0.55,-0.15
20-December-2016,31.25,31.80,30.20,31.20,31.121609195402298850,13050,250,406137.00,5121,39.24,1.60,-0.05
19-December-2016,32.00,32.00,30.80,31.00,31.137021668971876440,10845,172,337681.00,7700,71.00,1.20,-1.00
16-December-2016,31.85,32.05,31.25,31.45,31.603888213851761846,5761,54,182070.00,4401,76.39,0.80,-0.40
15-December-2016,32.00,32.25,31.55,31.75,31.854834684965689332,16030,154,510633.00,8870,55.33,0.70,-0.25
14-December-2016,32.40,32.50,31.50,31.55,32.084847692508824682,15298,112,490834.00,11373,74.34,1.00,-0.85
13-December-2016,32.30,32.70,31.90,32.00,32.070459728724042731,8331,60,267179.00,6947,83.39,0.80,-0.30
12-December-2016,32.10,33.30,32.00,32.50,32.669655753490611458,16616,133,542839.00,7557,45.48,1.30,0.40
9-December-2016,32.95,33.45,31.85,32.05,32.392039992309171313,36407,260,1179297.00,21621,59.39,1.60,-0.90
8-December-2016,32.05,33.00,32.05,32.80,32.808611796366898407,22295,222,731468.00,11155,50.03,0.95,0.75
7-December-2016,31.60,32.75,31.55,32.10,32.237217827513023345,10366,156,334171.00,4973,47.97,1.20,0.50
6-December-2016,31.90,32.15,31.15,31.65,31.658290832193058838,16078,136,509002.00,9682,60.22,1.00,-0.25
5-December-2016,31.60,32.00,31.05,31.45,31.320718195167534374,14982,102,469247.00,11213,74.84,0.95,-0.15
2-December-2016,32.25,32.25,31.65,31.80,31.974773747594954749,14033,103,448702.00,8896,63.39,0.60,-0.45
1-December-2016,32.60,32.95,32.25,32.50,32.554182668225079312,17967,202,584901.00,12470,69.41,0.70,-0.10
30-November-2016,31.40,33.80,30.85,32.55,32.410434542568608957,43471,477,1408914.00,21363,49.14,2.95,1.15
