Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,3.89,3.89,3.89,3.89,3.889826743669480231,2251,5,8756.00,2251,100.00,0.00,0.00
29-December-2016,4.09,4.09,4.09,4.09,4.090000000000000000,3100,7,12679.00,3100,100.00,0.00,0.00
28-December-2016,4.30,4.30,4.30,4.30,4.297709923664122137,131,3,563.00,131,100.00,0.00,0.00
27-December-2016,4.52,4.52,4.52,4.52,4.518518518518518518,27,3,122.00,27,100.00,0.00,0.00
26-December-2016,4.75,4.75,4.75,4.75,4.000000000000000000,1,1,4.00,1,100.00,0.00,0.00
23-December-2016,4.99,4.99,4.99,4.99,4.985148514851485148,202,3,1007.00,202,100.00,0.00,0.00
22-December-2016,5.25,5.25,5.25,5.25,5.250000000000000000,300,3,1575.00,300,100.00,0.00,0.00
21-December-2016,5.52,5.52,5.52,5.52,5.520000000000000000,800,3,4416.00,800,100.00,0.00,0.00
20-December-2016,5.81,5.81,5.81,5.81,5.810000000000000000,1100,2,6391.00,1100,100.00,0.00,0.00
19-December-2016,6.11,6.11,6.11,6.11,6.109725685785536159,401,4,2450.00,401,100.00,0.00,0.00
16-December-2016,6.43,6.43,6.43,6.43,6.429939077458659704,5745,5,36940.00,5745,100.00,0.00,0.00
15-December-2016,6.76,6.76,6.76,6.76,6.760000000000000000,525,4,3549.00,525,100.00,0.00,0.00
14-December-2016,7.11,7.11,7.11,7.11,7.109638554216867469,2490,6,17703.00,2490,100.00,0.00,0.00
13-December-2016,7.48,7.48,7.48,7.48,7.479919678714859437,7470,13,55875.00,7470,100.00,0.00,0.00
12-December-2016,8.55,8.55,7.87,7.87,8.312896252293494650,55047,58,457600.00,55047,100.00,0.68,-0.68
9-December-2016,8.28,8.28,8.28,8.28,8.279991743320475275,77513,78,641807.00,77513,100.00,0.00,0.00
8-December-2016,7.89,7.89,7.89,7.89,7.889970691967612140,20131,40,158833.00,20131,100.00,0.00,0.00
7-December-2016,7.52,7.52,7.52,7.52,7.519968013547203537,21259,37,159867.00,21259,100.00,0.00,0.00
6-December-2016,7.17,7.17,7.17,7.17,7.169973402343469197,27822,35,199483.00,27822,100.00,0.00,0.00
5-December-2016,6.83,6.83,6.83,6.83,6.829989011917842954,59155,38,404028.00,59155,100.00,0.00,0.00
2-December-2016,6.51,6.51,6.51,6.51,6.509991942896698857,88121,61,573667.00,88121,100.00,0.00,0.00
1-December-2016,6.20,6.20,6.20,6.20,6.199957167332952598,14008,23,86849.00,14008,100.00,0.00,0.00
30-November-2016,5.91,5.91,5.91,5.91,5.909996106135617733,125839,70,743708.00,125839,100.00,0.00,0.00
29-November-2016,5.63,5.63,5.63,5.63,5.629986113106354450,20883,31,117571.00,20883,100.00,0.00,0.00
28-November-2016,5.37,5.37,5.37,5.37,5.369981772106877695,22493,30,120787.00,22493,100.00,0.00,0.00
25-November-2016,5.12,5.12,5.12,5.12,5.119981423429699291,43065,34,220492.00,43065,100.00,0.00,0.00
24-November-2016,4.88,4.88,4.88,4.88,4.879995347755291928,42990,24,209791.00,42990,100.00,0.00,0.00
23-November-2016,4.65,4.65,4.65,4.65,4.649995570124922477,67722,56,314907.00,67722,100.00,0.00,0.00
22-November-2016,4.43,4.43,4.43,4.43,4.429987180751405186,20282,18,89849.00,20282,100.00,0.00,0.00
21-November-2016,4.22,4.22,4.22,4.22,4.219996516286361261,28705,45,121135.00,28705,100.00,0.00,0.00
18-November-2016,4.02,4.02,3.64,4.02,3.970769749766832695,251965,227,1000495.00,251965,100.00,0.38,0.00
17-November-2016,3.83,3.83,3.83,3.83,3.829998411341508620,132187,29,506276.00,132187,100.00,0.00,0.00
16-November-2016,3.65,3.65,3.65,3.65,3.649982512726848793,25733,18,93925.00,25733,100.00,0.00,0.00
15-November-2016,3.48,3.48,3.48,3.48,3.479991391575700331,83639,46,291063.00,83639,100.00,0.00,0.00
11-November-2016,3.32,3.32,3.32,3.32,3.319997877646309757,18847,13,62572.00,18847,100.00,0.00,0.00
10-November-2016,3.16,3.17,3.16,3.17,3.165724954552154473,20353,20,64432.00,20353,100.00,0.01,0.01
9-November-2016,3.02,3.02,2.75,3.02,3.004682143288580819,240061,131,721307.00,240061,100.00,0.27,0.00
8-November-2016,2.88,2.88,2.88,2.88,2.879836309523809523,5376,7,15482.00,5376,100.00,0.00,0.00
7-November-2016,2.75,2.75,2.75,2.75,2.749914704878880928,8793,6,24180.00,8793,100.00,0.00,0.00
4-November-2016,2.62,2.62,2.62,2.62,2.619986445690345634,32462,10,85050.00,32462,100.00,0.00,0.00
3-November-2016,2.50,2.50,2.50,2.50,2.499917039986726397,6027,5,15067.00,6027,100.00,0.00,0.00
2-November-2016,2.39,2.39,2.39,2.39,2.389981785063752276,5490,5,13121.00,5490,100.00,0.00,0.00
1-November-2016,2.28,2.28,2.28,2.28,2.279969814575247951,18552,7,42298.00,18552,100.00,0.00,0.00
30-October-2016,2.18,2.18,2.18,2.18,2.179953106682297772,3412,5,7438.00,3412,100.00,0.00,0.00
28-October-2016,2.08,2.08,2.08,2.08,2.079979648944288984,19655,6,40882.00,19655,100.00,0.00,0.00
27-October-2016,1.99,1.99,1.99,1.99,1.989973158917718199,32413,11,64501.00,32413,100.00,0.00,0.00
26-October-2016,1.90,1.90,1.90,1.90,1.899733806566104702,1127,5,2141.00,1127,100.00,0.00,0.00
25-October-2016,1.81,1.81,1.81,1.81,1.809832707408671901,2929,3,5301.00,2929,100.00,0.00,0.00
24-October-2016,1.73,1.73,1.73,1.73,1.729953718652459369,18582,18,32146.00,18582,100.00,0.00,0.00
21-October-2016,1.65,1.65,1.65,1.65,1.650000000000000000,20200,4,33330.00,20200,100.00,0.00,0.00
20-October-2016,1.58,1.58,1.58,1.58,1.579966881041321677,25967,9,41027.00,25967,100.00,0.00,0.00
19-October-2016,1.51,1.51,1.51,1.51,1.509990183057111508,34634,17,52297.00,34634,100.00,0.00,0.00
18-October-2016,1.44,1.44,1.44,1.44,1.440000000000000000,1100,2,1584.00,1100,100.00,0.00,0.00
17-October-2016,1.38,1.38,1.38,1.38,1.380000000000000000,4000,4,5520.00,4000,100.00,0.00,0.00
14-October-2016,1.32,1.32,1.32,1.32,1.319736842105263157,760,4,1003.00,760,100.00,0.00,0.00
13-October-2016,1.26,1.26,1.26,1.26,1.258964143426294820,251,3,316.00,251,100.00,0.00,0.00
