Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,33.50,33.50,31.00,32.25,32.156250000000000000,1280,8,41160.00,560,43.75,2.50,-1.25
29-December-2016,31.25,32.75,31.25,32.25,32.114098837209302325,1376,17,44189.00,750,54.51,1.50,1.00
28-December-2016,34.00,34.00,30.70,31.35,31.370303030303030303,3300,15,103522.00,1700,51.52,3.30,-2.65
27-December-2016,33.50,33.50,30.50,32.20,31.701915708812260536,1305,10,41371.00,704,53.95,3.00,-1.30
26-December-2016,36.00,36.00,32.50,32.50,33.722222222222222222,900,5,30350.00,400,44.44,3.50,-3.50
23-December-2016,32.60,33.40,31.80,33.20,32.492122335495829471,1079,9,35059.00,929,86.10,1.60,0.60
22-December-2016,33.00,33.00,32.15,32.80,32.331301939058171745,1805,21,58358.00,1652,91.52,0.85,-0.20
21-December-2016,32.80,33.90,32.75,33.90,32.795763993948562783,661,6,21678.00,660,99.85,1.15,1.10
20-December-2016,33.15,33.15,33.10,33.10,33.093333333333333333,75,2,2482.00,75,100.00,0.05,-0.05
19-December-2016,33.45,34.90,33.00,33.30,33.525780510879848628,4228,19,141747.00,3269,77.32,1.90,-0.15
16-December-2016,37.00,37.00,33.75,33.75,34.664285714285714285,1400,9,48530.00,1200,85.71,3.25,-3.25
15-December-2016,34.00,34.50,34.00,34.25,34.106524633821571238,751,6,25614.00,751,100.00,0.50,0.25
14-December-2016,35.40,35.40,33.40,34.60,34.482758620689655172,1450,11,50000.00,1248,86.07,2.00,-0.80
13-December-2016,35.40,35.40,33.40,34.80,34.321600000000000000,1250,7,42902.00,850,68.00,2.00,-0.60
12-December-2016,34.10,35.00,34.05,34.25,34.369190600522193211,1915,16,65817.00,1715,89.56,0.95,0.15
9-December-2016,36.00,36.00,34.00,34.25,34.731888964116452268,1477,7,51299.00,1277,86.46,2.00,-1.75
8-December-2016,34.55,34.55,34.20,34.20,34.442588726513569937,958,8,32996.00,939,98.02,0.35,-0.35
7-December-2016,37.00,37.00,32.30,34.90,33.695236943907156673,8272,76,278727.00,3560,43.04,4.70,-2.10
6-December-2016,34.95,34.95,34.95,34.95,34.940000000000000000,50,1,1747.00,50,100.00,0.00,0.00
5-December-2016,36.60,36.60,33.35,33.35,34.710000000000000000,500,3,17355.00,300,60.00,3.25,-3.25
2-December-2016,33.70,34.50,33.65,34.45,34.279263220439691027,3366,14,115384.00,2956,87.82,0.85,0.75
30-November-2016,35.75,35.75,33.90,34.15,34.288537549407114624,253,9,8675.00,200,79.05,1.85,-1.60
29-November-2016,34.65,34.65,34.45,34.50,34.562790697674418604,215,5,7431.00,190,88.37,0.20,-0.15
28-November-2016,35.45,35.45,34.90,34.90,35.434146341463414634,205,3,7264.00,200,97.56,0.55,-0.55
25-November-2016,36.45,36.60,34.00,34.40,35.698268581081081081,4736,70,169067.00,2378,50.21,2.60,-2.05
24-November-2016,34.00,36.45,30.30,34.80,33.992108229988726042,14192,96,482416.00,6657,46.91,6.15,0.80
23-November-2016,32.50,32.90,29.00,30.75,30.432383262583383869,1649,27,50183.00,1378,83.57,3.90,-1.75
22-November-2016,30.90,30.90,29.90,30.40,30.206810631229235880,1204,12,36369.00,911,75.66,1.00,-0.50
21-November-2016,32.00,32.00,28.40,29.20,29.408134642356241234,2139,15,62904.00,2041,95.42,3.60,-2.80
18-November-2016,35.00,35.00,31.80,32.00,32.565010570824524312,1892,13,61613.00,1572,83.09,3.20,-3.00
17-November-2016,32.05,32.25,32.00,32.25,32.040000000000000000,825,10,26433.00,700,84.85,0.25,0.20
16-November-2016,33.60,33.60,32.00,33.00,32.745004757373929590,1051,9,34415.00,751,71.46,1.60,-0.60
15-November-2016,35.00,35.00,31.00,31.70,33.292001235330450895,6476,35,215599.00,4603,71.08,4.00,-3.30
11-November-2016,36.20,37.30,34.35,34.80,35.796205630354957160,4902,34,175473.00,3805,77.62,2.95,-1.40
10-November-2016,37.80,38.90,37.80,38.90,38.180000000000000000,150,3,5727.00,50,33.33,1.10,1.10
9-November-2016,35.00,36.60,34.15,36.45,35.536174430128840436,2018,18,71712.00,1519,75.27,2.45,1.45
8-November-2016,39.00,39.00,37.50,38.20,38.441091954022988505,4872,36,187285.00,3560,73.07,1.50,-0.80
7-November-2016,39.55,41.80,38.75,39.05,40.455066921606118546,5753,49,232738.00,4932,85.73,3.05,-0.50
4-November-2016,40.00,40.95,38.60,38.75,39.282346175963197239,12173,44,478184.00,10409,85.51,2.35,-1.25
3-November-2016,41.45,41.70,40.60,40.60,41.118518518518518518,2430,27,99918.00,1700,69.96,1.10,-0.85
2-November-2016,39.90,44.40,39.90,41.20,42.494067075627994447,44666,409,1898040.00,16295,36.48,4.50,1.30
1-November-2016,38.00,41.25,36.50,40.65,39.018345129653727743,31507,161,1229351.00,17455,55.40,4.75,2.65
30-October-2016,37.10,37.50,36.10,37.45,36.650329670329670329,4550,11,166759.00,4050,89.01,1.40,0.35
28-October-2016,37.50,38.50,36.75,37.55,37.217013365490905436,19902,55,740693.00,16425,82.53,1.75,0.05
27-October-2016,41.45,41.45,36.00,36.55,36.779602937177046505,18385,51,676193.00,17085,92.93,5.45,-4.90
26-October-2016,41.50,41.50,38.00,38.70,39.266845878136200716,5580,41,219109.00,4400,78.85,3.50,-2.80
25-October-2016,41.05,41.05,39.50,39.50,40.229809976247030878,1684,24,67747.00,1239,73.57,1.55,-1.55
24-October-2016,41.20,42.80,41.20,41.80,41.874708171206225680,1285,19,53809.00,765,59.53,1.60,0.60
21-October-2016,40.60,42.50,40.45,41.05,41.634342258440046565,8590,64,357639.00,7366,85.75,2.05,0.45
20-October-2016,37.00,43.50,37.00,41.10,40.532154322203808221,86287,451,3497398.00,44196,51.22,6.50,4.10
19-October-2016,36.85,38.25,36.05,37.95,37.047573964497041420,16900,55,626104.00,11540,68.28,2.20,1.10
18-October-2016,37.85,37.85,35.60,36.00,36.138119450557790088,13177,80,476192.00,10700,81.20,2.25,-1.85
17-October-2016,37.45,37.50,35.50,36.05,36.150492025788937902,11788,63,426142.00,10250,86.95,2.00,-1.40
14-October-2016,39.80,39.80,32.00,36.55,36.229753929826888638,15077,59,546236.00,13521,89.68,7.80,-3.25
13-October-2016,38.75,38.75,36.35,36.50,36.479807251032583754,8716,57,317958.00,8303,95.26,2.40,-2.25
10-October-2016,37.10,38.50,37.10,37.50,37.887679751263116984,2573,10,97485.00,2548,99.03,1.40,0.40
7-October-2016,39.40,39.80,36.55,37.35,37.931202957876667106,7573,40,287253.00,5797,76.55,3.25,-2.05
6-October-2016,37.80,40.90,36.75,38.45,39.517142383923149119,36226,243,1431548.00,13806,38.11,4.15,0.65
5-October-2016,36.50,37.70,36.50,37.00,36.875985582338364496,8878,41,327385.00,7322,82.47,1.20,0.50
5-October-2016,36.50,37.70,36.50,37.00,36.875985582338364496,8878,41,327385.00,7322,82.47,1.20,0.50
4-October-2016,35.50,38.50,35.00,36.20,36.191644231727988832,10029,33,362966.00,5396,53.80,3.50,0.70
3-October-2016,36.05,37.85,35.85,35.90,36.035684298908480268,4764,21,171674.00,4242,89.04,2.00,-0.15
30-September-2016,35.00,36.70,33.40,36.05,35.351205320033250207,9624,40,340220.00,7897,82.06,3.30,1.05
29-September-2016,37.00,38.00,31.50,34.55,35.939804772234273318,5532,29,198819.00,4221,76.30,6.50,-2.45
