Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,15.45,16.70,15.40,15.85,15.556327543424317617,6045,19,94038.00,5425,89.74,1.30,0.40
29-December-2016,15.00,16.40,15.00,16.05,15.666774576454084385,27801,30,435552.00,25500,91.72,1.40,1.05
28-December-2016,16.40,16.40,15.05,15.40,15.355021946811257423,3873,23,59470.00,3650,94.24,1.35,-1.00
27-December-2016,16.85,16.85,15.20,16.10,15.910261184105537528,18799,35,299097.00,14021,74.58,1.65,-0.75
26-December-2016,16.65,16.65,15.50,15.90,15.828889730138986533,18491,24,292692.00,17000,91.94,1.15,-0.75
23-December-2016,16.50,16.50,15.10,16.30,15.849354515947970812,40977,99,649459.00,24483,59.75,1.40,-0.20
22-December-2016,16.00,16.45,15.25,15.85,15.747221157531621310,31308,42,493014.00,29929,95.60,1.20,-0.15
21-December-2016,16.45,16.45,15.80,15.95,15.993276283618581907,1636,11,26165.00,986,60.27,0.65,-0.50
20-December-2016,17.30,17.30,16.00,16.35,16.386865128196483657,59323,35,972118.00,58205,98.12,1.30,-0.95
19-December-2016,17.35,17.50,16.60,17.00,17.244309559939301972,659,9,11364.00,650,98.63,0.90,-0.35
16-December-2016,17.00,17.80,16.20,17.35,16.992347140039447731,12675,46,215378.00,7648,60.34,1.60,0.35
15-December-2016,17.30,17.45,16.55,17.45,17.077622706601850399,12754,33,217808.00,7800,61.16,0.90,0.15
14-December-2016,17.55,17.70,16.50,17.30,17.236460562982108961,24761,48,426792.00,17887,72.24,1.20,-0.25
13-December-2016,18.00,18.30,17.60,17.95,17.836642555463857468,61797,37,1102251.00,53690,86.88,0.70,-0.05
12-December-2016,17.60,18.45,17.50,18.15,17.729005073162550836,47702,30,845709.00,45906,96.23,0.95,0.55
9-December-2016,17.75,18.70,17.75,18.50,18.379978118161925601,18280,24,335986.00,14029,76.75,0.95,0.75
8-December-2016,18.60,18.60,17.60,18.30,18.222854316101904526,4043,43,73675.00,3634,89.88,1.00,-0.30
7-December-2016,18.05,19.15,17.50,18.60,18.389542514296428236,42668,601,784645.00,15989,37.47,1.65,0.55
6-December-2016,17.00,19.50,16.80,18.20,18.476599241672226652,245804,299,4541622.00,180861,73.58,2.70,1.20
5-December-2016,16.90,16.90,15.00,16.50,15.517696460707858428,10002,45,155208.00,4337,43.36,1.90,-0.40
2-December-2016,15.65,16.30,15.65,16.25,16.211956521739130434,368,3,5966.00,368,100.00,0.65,0.60
1-December-2016,16.25,16.30,15.55,16.30,16.083902439024390243,4100,14,65944.00,3983,97.15,0.75,0.05
30-November-2016,16.15,17.00,15.85,16.55,16.360809494606976660,55442,25,907076.00,54775,98.80,1.15,0.40
29-November-2016,16.45,16.45,15.80,16.15,16.015233415233415233,2035,11,32591.00,1895,93.12,0.65,-0.30
28-November-2016,16.50,16.90,15.50,15.75,16.393104655232761638,85710,28,1405053.00,85601,99.87,1.40,-0.75
25-November-2016,15.15,16.90,15.15,16.90,16.049975012493753123,2001,15,32116.00,1001,50.02,1.75,1.75
24-November-2016,16.00,17.25,16.00,16.55,16.432790988735919899,3995,15,65649.00,2882,72.14,1.25,0.55
23-November-2016,16.60,16.90,16.00,16.65,16.461376735418856707,82761,93,1362360.00,72350,87.42,0.90,0.05
22-November-2016,17.15,18.25,15.60,17.45,17.293935962112632554,9713,56,167976.00,9113,93.82,2.65,0.30
21-November-2016,16.00,16.85,15.50,16.70,16.324253025176349142,17437,35,284646.00,15836,90.82,1.35,0.70
18-November-2016,17.50,17.50,16.45,17.20,16.895631067961165048,2060,12,34805.00,1950,94.66,1.05,-0.30
17-November-2016,16.75,17.30,15.80,16.80,16.432807065829309180,39967,72,656770.00,32167,80.48,1.50,0.05
16-November-2016,17.60,18.75,16.75,16.85,17.756483051654821561,104966,78,1863827.00,101615,96.81,2.00,-0.75
15-November-2016,17.35,18.70,16.65,18.60,17.650302269875670126,43835,75,773701.00,32605,74.38,2.05,1.25
11-November-2016,18.00,18.75,17.25,18.45,18.048552958727001491,50275,91,907391.00,42404,84.34,1.50,0.45
10-November-2016,19.40,19.40,16.80,19.15,18.771294607970825735,76780,132,1441260.00,66180,86.19,2.60,-0.25
9-November-2016,16.75,18.50,16.15,18.30,17.608030498069115754,60594,110,1066941.00,26710,44.08,2.35,1.55
8-November-2016,18.00,18.50,17.00,17.90,17.925863281642495897,59714,94,1070425.00,46132,77.25,1.50,-0.10
7-November-2016,16.95,17.50,15.25,17.45,16.945275511791771321,44989,95,762351.00,31526,70.07,2.25,0.50
4-November-2016,15.25,16.70,14.85,15.95,15.497609942638623326,16736,72,259368.00,13297,79.45,1.85,0.70
3-November-2016,17.00,17.00,16.20,16.50,16.520602626834921452,7766,22,128299.00,5466,70.38,0.80,-0.50
2-November-2016,16.60,17.25,16.60,17.05,16.796453353893600616,7782,23,130710.00,7782,100.00,0.65,0.45
1-November-2016,17.50,17.50,17.45,17.45,17.451640759930915371,1158,4,20209.00,1158,100.00,0.05,-0.05
30-October-2016,17.10,18.35,17.10,18.35,17.992857142857142857,700,4,12595.00,500,71.43,1.25,1.25
28-October-2016,18.20,18.35,17.45,18.00,17.904677710727601183,52034,12,931652.00,51534,99.04,0.90,-0.20
27-October-2016,18.90,18.90,17.80,18.20,18.079683113486905357,26003,70,470126.00,21952,84.42,1.10,-0.70
26-October-2016,18.85,18.85,17.65,18.70,18.596071663379355687,36504,79,678831.00,20173,55.26,1.20,-0.15
25-October-2016,17.90,18.40,17.20,18.40,18.279178744618790344,220443,161,4029517.00,114069,51.75,1.20,0.50
24-October-2016,19.05,19.05,17.40,17.55,17.551078346078117129,21839,71,383298.00,18072,82.75,1.65,-1.50
21-October-2016,19.60,19.60,17.95,18.30,18.391324330057272148,28286,105,520217.00,20761,73.40,1.65,-1.30
20-October-2016,19.00,19.00,17.75,18.85,18.735647049412015679,75002,118,1405211.00,40276,53.70,1.25,-0.15
19-October-2016,19.10,19.10,17.50,18.50,18.461258060271088301,75990,85,1402871.00,47029,61.89,1.60,-0.60
18-October-2016,17.65,18.50,17.45,18.30,18.051372038531632387,96025,122,1733383.00,63358,65.98,1.05,0.65
17-October-2016,18.00,18.50,17.05,18.35,18.009126209332426562,45583,102,820910.00,26487,58.11,1.45,0.35
14-October-2016,17.00,17.90,16.55,17.90,17.358741035856573705,62750,90,1089261.00,38746,61.75,1.35,0.90
13-October-2016,17.10,17.30,17.05,17.05,17.054894332531073818,30331,39,517292.00,22586,74.47,0.25,-0.05
10-October-2016,19.65,19.65,17.90,17.90,18.199032438131861316,16123,51,293423.00,14866,92.20,1.75,-1.75
7-October-2016,19.45,19.45,18.05,18.80,18.615243069982786252,33694,91,627222.00,25868,76.77,1.40,-0.65
6-October-2016,19.25,19.40,18.25,18.95,19.128593019276833580,70136,120,1341603.00,34097,48.62,1.15,-0.30
5-October-2016,17.80,18.65,17.50,18.65,18.320210909500309609,53293,142,976339.00,31296,58.72,1.15,0.85
5-October-2016,17.80,18.65,17.50,18.65,18.320210909500309609,53293,142,976339.00,31296,58.72,1.15,0.85
