Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-June-2017,172.00,179.80,171.00,178.95,176.142583701698356633,851058,5552,149907555.00,200146,23.52,8.80,6.95
31-May-2017,171.00,174.25,170.75,172.00,172.358438684464533747,424770,3148,73212694.00,104471,24.59,3.50,1.00
30-May-2017,169.00,170.60,164.85,169.50,167.982078036286841285,311573,2025,52338680.00,70752,22.71,5.75,0.50
29-May-2017,169.00,169.95,164.75,165.70,166.794137721937258509,341369,3160,56938348.00,59793,17.52,5.20,-3.30
26-May-2017,159.30,168.15,159.00,167.10,164.321560890874123704,402975,4491,66217481.00,130185,32.31,9.15,7.80
25-May-2017,162.00,162.00,155.30,159.40,158.458464627472827190,344646,2298,54612076.00,66859,19.40,6.70,-2.60
24-May-2017,161.15,163.65,155.65,157.80,159.647147068430837228,247973,2409,39588182.00,42941,17.32,8.00,-3.35
23-May-2017,163.65,164.50,154.60,161.15,160.265106397974234926,397282,3843,63670442.00,119841,30.17,9.90,-2.50
22-May-2017,169.00,169.00,162.50,163.20,165.204862019356526288,244672,3220,40421004.00,84359,34.48,6.50,-5.80
19-May-2017,167.50,169.75,164.05,166.70,166.660362082020788739,305069,2450,50842910.00,61012,20.00,5.70,-0.80
18-May-2017,169.85,170.45,166.00,166.45,168.038016522319519437,250207,2654,42044288.00,81443,32.55,4.45,-3.40
17-May-2017,172.95,173.95,169.50,170.80,171.649607505381710907,492873,3239,84601457.00,96250,19.53,4.45,-2.15
16-May-2017,165.00,173.30,164.95,172.45,170.154973635967667540,934417,6225,158995700.00,275821,29.52,8.35,7.45
15-May-2017,169.45,169.45,163.20,164.10,166.708618265558695905,626611,5493,104461454.00,187464,29.92,6.25,-5.35
12-May-2017,168.05,168.70,164.40,165.65,166.934617396307338249,382380,4157,63832459.00,82761,21.64,4.30,-2.40
11-May-2017,168.95,171.00,166.10,167.05,168.484183753965704379,526073,2562,88634980.00,160220,30.46,4.90,-1.90
10-May-2017,168.50,170.55,168.20,168.85,169.324433011731727927,294671,3039,49895000.00,94094,31.93,2.35,0.35
9-May-2017,167.00,168.80,165.15,168.05,167.213340890964450709,398714,3352,66670300.00,83848,21.03,3.65,1.05
8-May-2017,167.45,170.15,166.10,166.70,167.807063399918628997,503865,2997,84552106.00,106018,21.04,4.05,-0.75
5-May-2017,172.15,176.00,162.50,166.55,170.627570937850888376,1262866,7102,215479758.00,220888,17.49,13.50,-5.60
4-May-2017,169.60,173.90,169.60,171.70,172.218361477082946743,582012,4122,100233153.00,153520,26.38,4.30,2.10
3-May-2017,171.00,172.00,167.30,169.75,169.996909863474394248,729094,5364,123943727.00,183108,25.11,4.70,-1.25
2-May-2017,166.85,171.80,166.10,168.40,169.006813692260986371,1202285,8550,203194357.00,292225,24.31,5.70,1.55
28-April-2017,154.95,164.90,154.55,163.75,161.263048370567204812,1150431,7159,185522010.00,316179,27.48,10.35,8.80
27-April-2017,157.40,157.40,154.15,154.75,155.050535399818055868,119817,972,18577690.00,28856,24.08,3.25,-2.65
26-April-2017,157.05,159.00,152.00,154.90,156.084068453973679516,347562,3399,54248891.00,86452,24.87,7.00,-2.15
25-April-2017,159.50,159.50,156.20,156.55,157.183070462424923091,409580,2295,64379042.00,103488,25.27,3.30,-2.95
24-April-2017,155.00,156.10,154.10,154.95,155.113086647522974909,201633,1466,31275917.00,61245,30.37,2.00,-0.05
21-April-2017,152.05,156.70,152.05,154.35,154.601719597880212181,393813,2399,60884167.00,89029,22.61,4.65,2.30
20-April-2017,152.50,153.60,151.10,152.70,152.544383777710054367,429853,2255,65571661.00,39745,9.25,2.50,0.20
19-April-2017,150.00,153.75,149.10,151.90,151.737021855269548324,257375,1967,39053316.00,49674,19.30,4.65,1.90
18-April-2017,152.05,156.35,149.05,150.05,153.158245490188596449,524135,3116,80275597.00,110653,21.11,7.30,-2.00
17-April-2017,154.00,156.25,151.45,151.85,153.281775064931977438,336506,2618,51580237.00,124546,37.01,4.80,-2.15
13-April-2017,154.90,157.70,153.65,154.20,155.668038429442086204,331933,2272,51671359.00,77317,23.29,4.05,-0.70
12-April-2017,160.00,161.00,151.75,155.15,155.595990713790619513,1470137,8406,228747423.00,323425,22.00,9.25,-4.85
11-April-2017,146.70,161.70,146.50,159.30,156.085757498589886691,2521074,14519,393503745.00,437967,17.37,15.20,12.60
10-April-2017,147.60,147.60,145.30,146.15,146.399925323463043231,184797,1312,27054267.00,71659,38.78,2.30,-1.45
7-April-2017,146.90,147.65,143.00,144.05,146.343522227428692353,330785,2066,48408242.00,105812,31.99,4.65,-2.85
6-April-2017,146.10,147.60,145.05,146.15,146.387083222686094145,459418,2429,67252861.00,115386,25.12,2.55,0.05
5-April-2017,141.10,146.40,140.80,145.90,144.724276856196571314,562198,3505,81363699.00,209830,37.32,5.60,4.80
3-April-2017,141.00,141.90,140.45,140.85,141.180926466524909599,166482,1008,23504083.00,70717,42.48,1.45,-0.15
31-March-2017,140.45,142.40,139.65,140.65,140.979685158471169871,285604,1507,40264362.00,72951,25.54,2.75,0.20
30-March-2017,142.00,142.00,139.50,140.45,140.766546207700024810,463505,1101,65245998.00,363300,78.38,2.50,-1.55
29-March-2017,140.60,141.95,140.00,140.50,140.974360818116857144,222511,1596,31368346.00,71954,32.34,1.95,-0.10
28-March-2017,140.25,141.25,138.85,139.90,140.205549899870476845,209229,1553,29335067.00,87052,41.61,2.40,-0.35
27-March-2017,138.50,140.60,138.50,139.80,139.804326253284933428,309367,1577,43250845.00,142738,46.14,2.10,1.30
24-March-2017,137.00,140.65,137.00,138.85,139.648957043470978470,334338,1835,46689953.00,55455,16.59,3.65,1.85
23-March-2017,136.65,138.65,136.65,138.15,138.116681060028786724,295275,1437,40782403.00,43870,14.86,2.00,1.50
22-March-2017,138.00,138.50,136.10,136.55,137.383092673505637912,483601,1786,66438601.00,59824,12.37,2.40,-1.45
21-March-2017,138.55,140.20,138.00,138.55,138.907618775859609074,560720,2251,77888280.00,74067,13.21,2.20,0.00
20-March-2017,139.80,140.75,138.45,139.50,139.770765141842339253,412747,1118,57689964.00,231274,56.03,2.30,-0.30
