Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-June-2017,1563.05,1614.95,1561.50,1602.60,1593.643696339810212381,13278,995,21160401.00,2557,19.26,53.45,39.55
31-May-2017,1562.50,1588.50,1544.90,1568.95,1568.132406287787182587,14886,1049,23343219.00,3163,21.25,43.60,6.45
30-May-2017,1542.50,1565.00,1518.40,1547.55,1544.696671144947007015,13398,1126,20695846.00,3804,28.39,46.60,5.05
29-May-2017,1590.00,1595.00,1432.00,1535.25,1512.429687201862287407,78613,6242,118896635.00,4422,5.63,163.00,-54.75
26-May-2017,1603.85,1626.30,1569.35,1596.65,1597.054303151077344625,16058,1292,25645498.00,2675,16.66,56.95,-7.20
25-May-2017,1651.65,1655.90,1580.05,1615.10,1606.544066190406764834,27436,1740,44077143.00,4657,16.97,75.85,-36.55
24-May-2017,1673.10,1690.80,1625.00,1662.45,1660.573202054794520547,14016,1067,23274594.00,4045,28.86,65.80,-10.65
23-May-2017,1700.00,1700.35,1620.00,1671.25,1658.841409472690224143,20121,1415,33377548.00,4808,23.90,80.35,-28.75
22-May-2017,1674.00,1690.00,1651.30,1677.30,1672.576183136381800536,17517,1178,29298517.00,4941,28.21,38.70,3.30
19-May-2017,1644.90,1685.00,1629.15,1674.50,1660.887165501960115902,29335,1374,48722125.00,15437,52.62,55.85,29.60
18-May-2017,1645.00,1659.85,1615.65,1624.25,1629.282913512842784464,8059,619,13130391.00,3163,39.25,44.20,-20.75
17-May-2017,1625.00,1665.00,1623.70,1646.10,1647.819878337972986905,9699,936,15982205.00,3331,34.34,41.30,21.10
16-May-2017,1629.05,1640.00,1612.20,1630.60,1626.628102836879432624,6768,484,11009019.00,2905,42.92,27.80,1.55
15-May-2017,1610.00,1639.00,1600.05,1629.75,1622.766776677667766776,7272,661,11800760.00,2508,34.49,38.95,19.75
12-May-2017,1589.00,1640.00,1573.60,1609.15,1610.583870337824643624,10242,991,16495600.00,2706,26.42,66.40,20.15
11-May-2017,1620.00,1620.00,1578.60,1589.00,1587.672426001982721994,7061,762,11210555.00,2713,38.42,41.40,-31.00
10-May-2017,1603.00,1625.00,1590.00,1597.80,1604.449538638985005767,10404,777,16692693.00,3802,36.54,35.00,-5.20
9-May-2017,1580.15,1612.95,1555.00,1582.45,1574.994710429947104299,14746,918,23224872.00,3125,21.19,57.95,2.30
8-May-2017,1635.05,1642.20,1565.15,1580.15,1585.000475864735448948,33623,5161,53292471.00,11810,35.12,77.05,-54.90
5-May-2017,1652.00,1656.00,1630.00,1636.35,1637.011238447319778188,13525,1936,22140577.00,6826,50.47,26.00,-15.65
4-May-2017,1658.00,1677.50,1635.00,1639.65,1650.383602205431897079,9794,945,16163857.00,3007,30.70,42.50,-18.35
3-May-2017,1657.50,1675.00,1625.00,1658.40,1651.247297811091195480,36822,3397,60802228.00,2840,7.71,50.00,0.90
2-May-2017,1661.90,1663.15,1640.00,1645.10,1648.256465658351338964,15273,1075,25173821.00,9284,60.79,23.15,-16.80
28-April-2017,1632.10,1668.00,1632.10,1647.90,1653.635275040538854933,8017,808,13257194.00,2680,33.43,35.90,15.80
27-April-2017,1640.00,1654.70,1630.50,1643.45,1646.779466547459395023,6711,745,11051537.00,2198,32.75,24.20,3.45
26-April-2017,1660.00,1664.00,1634.25,1640.30,1648.053139145837433576,5081,671,8373758.00,1760,34.64,29.75,-19.70
25-April-2017,1655.00,1673.25,1634.25,1655.40,1654.474744467599483973,10077,1135,16672142.00,4121,40.90,39.00,0.40
24-April-2017,1729.30,1729.30,1630.00,1643.00,1669.094953844146524447,30657,2501,51169444.00,13101,42.73,99.30,-86.30
21-April-2017,1733.20,1734.30,1710.00,1717.80,1721.865475387727579231,2966,318,5107053.00,997,33.61,24.30,-15.40
20-April-2017,1736.05,1744.45,1722.00,1725.80,1729.614415124064592359,2539,340,4391491.00,900,35.45,22.45,-10.25
19-April-2017,1735.75,1750.80,1727.00,1731.35,1735.051584547767753874,4323,538,7500628.00,1371,31.71,23.80,-4.40
18-April-2017,1763.80,1779.50,1725.85,1734.95,1755.688144329896907216,5820,808,10218105.00,1851,31.80,53.65,-28.85
17-April-2017,1787.70,1787.70,1745.95,1758.75,1758.532341392849762347,4839,620,8509538.00,1279,26.43,41.75,-28.95
13-April-2017,1761.40,1780.45,1760.00,1770.85,1772.187659438775510204,6272,683,11115161.00,2142,34.15,20.45,9.45
12-April-2017,1745.00,1769.25,1726.60,1755.80,1754.382945736434108527,10965,918,19236809.00,3854,35.15,42.65,10.80
11-April-2017,1742.25,1747.00,1731.95,1741.20,1738.863588421422711824,8533,1133,14837723.00,3949,46.28,15.05,-1.05
10-April-2017,1723.95,1818.00,1718.50,1736.25,1765.264089800554571877,29933,3136,52839650.00,6025,20.13,99.50,12.30
7-April-2017,1748.70,1758.60,1714.65,1719.75,1737.981877804625474628,5794,621,10069867.00,2313,39.92,43.95,-28.95
6-April-2017,1725.70,1754.95,1709.40,1745.75,1726.398628048780487804,15744,1037,27180420.00,6862,43.58,45.55,20.05
5-April-2017,1750.00,1750.00,1720.35,1722.85,1726.366621682411156095,8892,774,15350852.00,5700,64.10,29.65,-27.15
3-April-2017,1769.80,1769.80,1740.75,1746.70,1749.188997555012224938,8180,809,14308366.00,3984,48.70,29.05,-23.10
31-March-2017,1771.30,1775.35,1750.00,1760.30,1758.242809364548494983,2990,340,5257146.00,824,27.56,25.35,-11.00
30-March-2017,1779.85,1791.95,1750.00,1756.35,1765.622425629290617848,6992,692,12345232.00,2448,35.01,41.95,-23.50
29-March-2017,1807.95,1807.95,1764.50,1779.10,1779.533971728226174190,10965,745,19512590.00,3736,34.07,43.45,-28.85
28-March-2017,1806.10,1830.65,1778.95,1784.40,1796.337019018133569217,9044,691,16246072.00,2396,26.49,51.70,-21.70
27-March-2017,1834.00,1834.00,1753.00,1795.15,1795.672043010752688172,17298,1610,31061535.00,5117,29.58,81.00,-38.85
24-March-2017,1838.35,1850.00,1822.40,1827.35,1834.533969679955081414,7124,878,13069220.00,2745,38.53,27.60,-11.00
23-March-2017,1870.00,1870.00,1831.10,1836.30,1838.155107686228018178,5061,646,9302903.00,1438,28.41,38.90,-33.70
22-March-2017,1845.45,1850.45,1824.90,1831.25,1838.289756446991404011,5584,882,10265010.00,1201,21.51,25.55,-14.20
21-March-2017,1821.00,1855.00,1812.60,1845.45,1840.104302073661405137,12924,1458,23781508.00,5028,38.90,42.40,24.45
20-March-2017,1810.00,1851.00,1805.55,1820.80,1833.742543260473588342,35136,3167,64430378.00,11402,32.45,45.45,10.80
17-March-2017,1765.50,1798.05,1748.00,1793.25,1779.704370410173741715,11166,951,19872179.00,5247,46.99,50.05,27.75
16-March-2017,1745.70,1771.00,1745.70,1761.60,1762.085116172072693811,8694,776,15319568.00,4868,55.99,25.30,15.90
15-March-2017,1753.00,1761.45,1732.60,1741.65,1746.244464734078977402,4381,663,7650297.00,1851,42.25,28.85,-11.35
14-March-2017,1726.10,1757.55,1714.00,1753.15,1734.724198304460007371,21704,1440,37650454.00,10675,49.18,43.55,27.05
10-March-2017,1719.00,1724.00,1700.00,1707.30,1710.562904833084205281,8028,917,13732399.00,2714,33.81,24.00,-11.70
9-March-2017,1710.35,1723.25,1706.95,1712.05,1714.789283128167994207,4143,484,7104372.00,1723,41.59,16.30,1.70
8-March-2017,1711.90,1723.70,1702.50,1712.60,1713.620489222572051344,8258,942,14151078.00,2524,30.56,21.20,0.70
7-March-2017,1711.50,1715.80,1700.25,1706.75,1706.576929146283730471,6337,720,10814578.00,2424,38.25,15.55,-4.75
6-March-2017,1725.00,1732.00,1705.05,1713.70,1716.154218049327354260,14272,1549,24492953.00,5405,37.87,26.95,-11.30
3-March-2017,1704.00,1729.20,1699.60,1725.05,1720.844749525339564772,6847,983,11782624.00,2602,38.00,29.60,21.05
2-March-2017,1722.10,1728.45,1698.00,1705.10,1712.805323708549515001,8866,1028,15185732.00,1827,20.61,30.45,-17.00
1-March-2017,1719.15,1729.50,1710.15,1716.55,1722.637905604719764011,8136,746,14015382.00,3565,43.82,19.35,-2.60
28-February-2017,1734.05,1738.95,1710.30,1717.80,1724.559007832898172323,3830,597,6605061.00,1060,27.68,28.65,-16.25
27-February-2017,1718.00,1740.00,1700.00,1731.15,1725.479302629125489464,10726,1087,18507491.00,1637,15.26,40.00,13.15
23-February-2017,1720.90,1724.45,1696.50,1703.55,1704.839065431186402137,17591,1717,29989824.00,9485,53.92,27.95,-17.35
22-February-2017,1729.55,1740.60,1710.00,1713.90,1724.402977044476327116,11152,1440,19230542.00,2780,24.93,30.60,-15.65
21-February-2017,1742.80,1752.85,1719.40,1726.20,1734.217441996035909991,8577,1103,14874383.00,2595,30.26,33.45,-16.60
20-February-2017,1740.15,1761.95,1730.35,1741.40,1745.026960784313725490,10200,677,17799275.00,5011,49.13,31.60,1.25
17-February-2017,1774.90,1774.90,1736.10,1744.45,1752.302254877121864707,7894,1073,13832674.00,2136,27.06,38.80,-30.45
16-February-2017,1722.05,1774.95,1722.05,1768.35,1757.409600685763268804,13999,1402,24601977.00,2547,18.19,52.90,46.30
15-February-2017,1787.00,1787.00,1742.00,1752.60,1760.458367548037444572,6089,774,10719431.00,1169,19.20,45.00,-34.40
14-February-2017,1803.35,1803.70,1778.00,1785.65,1786.892576120424221690,5846,743,10446174.00,2079,35.56,25.70,-17.70
13-February-2017,1801.05,1808.40,1775.70,1800.70,1794.648879716981132075,6784,1118,12174898.00,857,12.63,32.70,-0.35
10-February-2017,1809.95,1813.90,1782.05,1788.75,1794.045756261616072218,11299,1376,20270923.00,2361,20.90,31.85,-21.20
9-February-2017,1768.20,1833.90,1740.00,1801.00,1795.749977331838030017,209545,7401,376290429.00,131410,62.71,93.90,32.80
8-February-2017,1760.00,1775.00,1755.00,1759.10,1763.797914282080630802,15726,1371,27737486.00,3990,25.37,20.00,-0.90
7-February-2017,1750.00,1769.90,1732.00,1744.35,1754.589132736548272210,20778,1569,36456853.00,3528,16.98,37.90,-5.65
6-February-2017,1732.85,1764.75,1710.10,1751.25,1744.578764307847973186,15813,1631,27587024.00,3930,24.85,54.65,18.40
3-February-2017,1702.00,1735.40,1701.30,1723.45,1719.242542542542542542,9990,1107,17175233.00,3433,34.36,34.10,21.45
2-February-2017,1695.00,1724.00,1690.45,1701.65,1705.872430076280421358,13765,1524,23481334.00,4651,33.79,33.55,6.65
1-February-2017,1705.00,1705.00,1665.30,1695.05,1689.719593634555271383,14076,1774,23784493.00,2920,20.74,39.70,-9.95
31-January-2017,1720.00,1734.95,1695.00,1703.35,1710.499761726461978351,14689,1358,25125531.00,3315,22.57,39.95,-16.65
30-January-2017,1711.05,1733.00,1709.00,1713.10,1717.363212874082439299,14168,1275,24331602.00,3754,26.50,24.00,2.05
27-January-2017,1692.45,1740.55,1685.00,1725.40,1718.771104175841007869,52229,4321,89769696.00,5259,10.07,55.55,32.95
25-January-2017,1756.10,1765.00,1683.05,1708.20,1723.187281213535589264,78844,6992,135862978.00,11348,14.39,81.95,-47.90
24-January-2017,1794.00,1803.75,1527.45,1756.50,1684.728734721189108071,615722,54733,1037324546.00,20383,3.31,276.30,-37.50
23-January-2017,1778.15,1791.90,1771.95,1783.65,1783.175153229608675153,4242,823,7564229.00,1222,28.81,19.95,5.50
20-January-2017,1773.75,1790.90,1760.40,1779.30,1777.390062821245002855,3502,648,6224420.00,758,21.64,30.50,5.55
19-January-2017,1781.35,1788.50,1770.00,1773.00,1775.333778533268576979,8236,442,14621649.00,6295,76.43,18.50,-8.35
18-January-2017,1795.85,1806.05,1777.25,1782.50,1791.887657953955340141,5777,885,10351735.00,1863,32.25,28.80,-13.35
17-January-2017,1785.75,1829.65,1781.60,1791.80,1804.198884110194118330,8603,1191,15521523.00,996,11.58,48.05,6.05
16-January-2017,1791.95,1802.95,1779.05,1790.85,1793.549099213397614818,3941,566,7068377.00,1028,26.08,23.90,-1.10
13-January-2017,1789.00,1805.40,1785.30,1794.20,1793.940999246798895305,3983,797,7145267.00,858,21.54,20.10,5.20
12-January-2017,1792.70,1820.00,1772.00,1791.30,1800.195944380069524913,8630,1141,15535691.00,2195,25.43,48.00,-1.40
11-January-2017,1814.00,1816.00,1792.70,1801.65,1802.455767301905717151,4985,792,8985242.00,1352,27.12,23.30,-12.35
10-January-2017,1804.00,1819.75,1785.50,1802.15,1801.813989071038251366,13725,1585,24729897.00,1971,14.36,34.25,-1.85
9-January-2017,1807.95,1807.95,1761.60,1774.10,1780.994790746953911354,11326,1503,20171547.00,3932,34.72,46.35,-33.85
6-January-2017,1792.15,1815.65,1780.60,1794.05,1797.770470153195985208,3786,842,6806359.00,884,23.35,35.05,1.90
5-January-2017,1787.85,1796.90,1784.05,1790.45,1789.936246632744687219,3341,532,5980177.00,1173,35.11,12.85,2.60
4-January-2017,1805.00,1822.00,1763.10,1777.80,1789.829119153858866303,12102,1746,21660512.00,3891,32.15,58.90,-27.20
3-January-2017,1830.10,1837.25,1791.20,1799.25,1806.392718482162478939,13651,1481,24659067.00,4340,31.79,46.05,-30.85
2-January-2017,1785.55,1832.00,1775.00,1824.80,1814.338995706552174724,10714,918,19438828.00,3423,31.95,57.00,39.25
30-December-2016,1761.00,1801.00,1755.00,1783.45,1786.323191183517010062,4174,747,7456113.00,482,11.55,46.00,22.45
29-December-2016,1789.00,1795.00,1741.75,1762.60,1765.390440720049658597,6444,1144,11376176.00,794,12.32,53.25,-26.40
28-December-2016,1746.20,1792.00,1720.25,1774.15,1760.061809206996458847,9319,1138,16402016.00,2316,24.85,71.75,27.95
