Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-June-2017,246.00,247.90,243.70,244.50,245.853260104210674552,7101,254,1745804.00,4458,62.78,4.20,-1.50
31-May-2017,242.20,249.50,240.00,244.70,247.328367670364500792,9465,323,2340963.00,6767,71.49,9.50,2.50
30-May-2017,245.50,247.90,241.50,243.50,243.831935261028323300,10133,325,2470749.00,6391,63.07,6.40,-2.00
29-May-2017,247.50,248.75,238.50,247.30,243.914153955303299042,11276,452,2750376.00,5868,52.04,10.25,-0.20
26-May-2017,242.00,248.05,242.00,247.25,246.329131937385647489,4919,219,1211693.00,2691,54.71,6.05,5.25
25-May-2017,238.85,245.50,238.85,242.85,242.057160169662694405,4951,181,1198425.00,2650,53.52,6.65,4.00
24-May-2017,243.60,245.50,239.00,240.50,242.037630402384500745,5368,146,1299258.00,4289,79.90,6.50,-3.10
23-May-2017,248.15,248.15,240.00,245.45,243.107392887146457574,7142,259,1736273.00,3841,53.78,8.15,-2.70
22-May-2017,239.10,248.00,239.10,247.80,244.239774330042313117,5672,346,1385328.00,2993,52.77,8.90,8.70
19-May-2017,250.00,250.15,241.00,243.15,243.966260833677259595,9692,221,2364521.00,6813,70.30,9.15,-6.85
18-May-2017,247.95,252.00,247.00,248.05,249.580421999308197855,5782,204,1443074.00,3388,58.60,5.00,0.10
17-May-2017,251.50,252.95,249.00,249.55,250.577372107832731904,4711,132,1180470.00,3372,71.58,3.95,-1.95
16-May-2017,253.00,256.35,249.00,251.05,251.345373986182036647,13316,299,3346915.00,8924,67.02,7.35,-1.95
15-May-2017,253.20,254.00,250.65,252.25,251.825210412996672538,10218,264,2573150.00,6338,62.03,3.35,-0.95
12-May-2017,256.50,257.00,253.10,254.75,254.532693461307738452,6668,231,1697224.00,2558,38.36,3.90,-1.75
11-May-2017,256.00,258.90,254.00,257.50,256.370418303674601340,21635,398,5546574.00,12194,56.36,4.90,1.50
10-May-2017,256.00,257.00,253.00,253.95,254.502410364567640855,6638,178,1689387.00,2454,36.97,4.00,-2.05
9-May-2017,256.50,256.70,250.00,254.95,253.790425531914893617,8460,388,2147067.00,4718,55.77,6.70,-1.55
8-May-2017,258.60,259.90,252.50,254.90,254.657343358395989974,9975,221,2540207.00,3796,38.06,7.40,-3.70
5-May-2017,254.40,258.15,250.00,256.55,254.616616616616616616,11988,269,3052344.00,6473,54.00,8.15,2.15
4-May-2017,253.60,258.40,253.50,254.60,255.462021701884637350,12257,331,3131198.00,6120,49.93,4.90,1.00
3-May-2017,253.00,255.10,248.15,251.00,251.713207240847471385,12319,328,3100855.00,5675,46.07,6.95,-2.00
2-May-2017,256.00,256.00,248.95,249.70,250.291019283746556473,9075,245,2271391.00,5499,60.60,7.05,-6.30
28-April-2017,255.70,256.00,247.00,251.00,251.691791103737062495,12657,334,3185663.00,5731,45.28,9.00,-4.70
27-April-2017,257.40,260.15,253.15,254.20,256.688218191887027550,7223,211,1854059.00,3016,41.76,7.00,-3.20
26-April-2017,258.00,259.50,251.00,257.20,256.330794124968882250,20085,493,5148404.00,11195,55.74,8.50,-0.80
25-April-2017,261.00,262.70,256.30,257.30,259.312042969002782631,15453,331,4007149.00,6802,44.02,6.40,-3.70
24-April-2017,263.55,267.40,247.25,259.30,261.313155956545755846,21724,533,5676767.00,12646,58.21,20.15,-4.25
21-April-2017,263.00,269.05,262.50,263.95,265.084634760705289672,9925,327,2630965.00,3843,38.72,6.55,0.95
20-April-2017,265.40,266.80,261.30,262.30,264.245980917527120637,7651,194,2021746.00,3512,45.90,5.50,-3.10
19-April-2017,264.45,265.00,261.45,263.60,263.292553191489361702,11092,299,2920441.00,4858,43.80,3.55,-0.85
18-April-2017,267.30,269.45,261.15,262.35,265.781666844520328673,9371,260,2490640.00,4076,43.50,8.30,-4.95
17-April-2017,270.50,271.00,264.00,264.75,266.295584498094027954,12592,353,3353194.00,5838,46.36,7.00,-5.75
13-April-2017,265.60,274.05,265.15,269.50,269.769664959883885013,24803,574,6691097.00,9709,39.14,8.90,3.90
12-April-2017,270.90,271.25,262.65,264.95,265.530213224540066199,12991,336,3449503.00,6759,52.03,8.60,-5.95
11-April-2017,269.00,272.65,268.15,269.25,270.457217694994179278,20616,500,5575746.00,9622,46.67,4.50,0.25
10-April-2017,272.60,273.65,269.80,271.25,271.357528569634559839,31852,904,8643280.00,9076,28.49,3.85,-1.35
7-April-2017,267.00,271.95,266.15,267.45,269.416303478866338293,38777,731,10447156.00,16353,42.17,5.80,0.45
6-April-2017,270.00,271.50,267.00,269.05,268.940315315315315315,28416,752,7642208.00,13275,46.72,4.50,-0.95
5-April-2017,272.00,274.45,268.90,270.95,271.694994493735325285,48127,1246,13075865.00,22248,46.23,5.55,-1.05
3-April-2017,269.60,276.50,269.00,271.95,272.245185225108691746,111324,2395,30307423.00,54433,48.90,7.50,2.35
31-March-2017,260.90,269.60,253.00,265.65,263.157180170505018363,75423,1665,19848104.00,28507,37.80,16.60,4.75
30-March-2017,247.60,258.50,247.00,255.35,253.307869988450750701,36366,955,9211794.00,19348,53.20,11.50,7.75
29-March-2017,245.00,253.25,242.10,248.05,246.107860855433670967,71379,1296,17566933.00,48299,67.67,11.15,3.05
28-March-2017,240.40,248.00,239.85,245.90,244.161154900616860863,23344,742,5699698.00,11895,50.96,8.15,5.50
27-March-2017,242.85,242.85,235.00,241.60,240.048899790779886011,69305,936,16636589.00,49206,71.00,7.85,-1.25
24-March-2017,243.00,246.50,239.65,241.10,242.922766475011057054,18088,449,4393987.00,9327,51.56,6.85,-1.90
23-March-2017,244.00,246.00,241.90,243.20,243.238769291261181559,20346,672,4948936.00,9038,44.42,4.10,-0.80
22-March-2017,247.95,247.95,240.20,243.55,243.639305219069519155,24353,668,5933348.00,13884,57.01,7.75,-4.40
21-March-2017,254.00,256.75,242.20,247.25,248.873825734723778333,104427,2857,25989147.00,32561,31.18,14.55,-6.75
20-March-2017,249.50,254.25,244.90,251.60,251.013012162209526479,114124,2383,28646609.00,52493,46.00,9.35,2.10
17-March-2017,244.20,251.70,242.10,248.00,247.574541703380542004,46531,1232,11519891.00,14897,32.02,9.60,3.80
16-March-2017,243.90,245.50,242.00,244.20,244.524527515286270150,28784,748,7038394.00,19937,69.26,3.50,0.30
15-March-2017,244.00,244.85,238.25,241.50,242.311108326022475665,23937,794,5800201.00,11985,50.07,6.60,-2.50
