Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-June-2017,730.00,736.80,718.95,722.85,724.031956789690453046,199582,1414,144503746.00,16395,8.21,17.85,-7.15
31-May-2017,702.00,734.00,700.80,723.10,721.112959661979269822,212058,2438,152917772.00,25617,12.08,33.20,21.10
30-May-2017,700.00,710.40,694.55,701.15,703.014588545873638172,101518,1628,71368635.00,54518,53.70,15.85,1.15
29-May-2017,653.90,716.30,645.05,704.85,694.528348905879570961,164927,4656,114546477.00,17068,10.35,71.25,50.95
26-May-2017,653.55,664.50,652.60,655.50,657.957929394549112858,21868,629,14388224.00,4119,18.84,11.90,1.95
25-May-2017,651.40,663.75,650.00,654.10,657.964651342476337647,20708,596,13625132.00,1919,9.27,13.75,2.70
24-May-2017,668.75,674.95,642.00,647.80,659.418805944941732815,47368,1194,31235350.00,3186,6.73,32.95,-20.95
23-May-2017,664.05,673.20,647.55,669.60,658.378463569952931655,46953,1106,30912844.00,6946,14.79,25.65,5.55
22-May-2017,674.50,682.00,665.50,670.95,674.036737200602981408,17911,438,12072672.00,3443,19.22,16.50,-3.55
19-May-2017,673.00,680.00,662.40,674.30,672.250926727871124198,28865,747,19404523.00,3883,13.45,17.60,1.30
18-May-2017,667.05,688.50,663.90,673.40,675.482618967262909213,23704,823,16011640.00,4534,19.13,24.60,6.35
17-May-2017,676.25,680.00,671.00,673.45,674.402292263610315186,12215,335,8237824.00,3631,29.73,9.00,-2.80
16-May-2017,683.80,693.00,676.05,678.45,682.597395591107803925,53755,1226,36693023.00,18591,34.58,16.95,-5.35
15-May-2017,677.10,689.90,672.15,687.85,684.780813705555521220,323606,1634,221599180.00,276102,85.32,17.75,10.75
12-May-2017,662.75,677.25,660.35,671.75,671.473400321893079298,45978,1374,30873004.00,7963,17.32,16.90,9.00
11-May-2017,665.00,669.60,659.25,663.95,663.768399916914768399,28886,972,19173614.00,4345,15.04,10.35,-1.05
10-May-2017,652.90,667.00,644.50,660.65,657.821698312236286919,94800,1371,62361497.00,9459,9.98,22.50,7.75
9-May-2017,651.25,659.70,647.00,653.20,653.347441187881352943,56706,1289,37048720.00,12754,22.49,12.70,1.95
8-May-2017,638.00,660.65,636.00,653.80,647.914627364866236143,246367,5740,159624783.00,90790,36.85,24.65,15.80
5-May-2017,698.00,698.00,626.00,640.75,649.597831943450394447,621755,15930,403890700.00,107238,17.25,72.00,-57.25
4-May-2017,701.05,716.00,700.25,704.70,707.020719465021220616,63853,1665,45145394.00,14531,22.76,15.75,3.65
3-May-2017,717.60,723.45,706.60,708.75,712.175638960351999230,41591,1145,29620097.00,14491,34.84,16.85,-8.85
2-May-2017,725.00,728.25,706.00,714.50,715.966526101945333661,64976,1454,46520641.00,22587,34.76,22.25,-10.50
28-April-2017,734.00,734.00,718.95,721.85,723.729680550966987725,196745,2077,142390196.00,23146,11.76,15.05,-12.15
27-April-2017,717.25,728.00,716.00,721.80,722.869173501143377864,58161,1370,42042794.00,13068,22.47,12.00,4.55
26-April-2017,725.95,725.95,711.90,716.65,719.866080282843961540,46386,1173,33391708.00,7796,16.81,14.05,-9.30
25-April-2017,749.00,749.00,708.55,713.15,716.602399181674467623,32261,987,23118310.00,5889,18.25,40.45,-35.85
24-April-2017,708.00,711.00,691.10,706.40,700.912209196747442545,49561,1834,34737910.00,8214,16.57,19.90,-1.60
21-April-2017,714.10,716.70,704.00,705.40,709.163243102097658629,22978,712,16295153.00,5909,25.72,12.70,-8.70
20-April-2017,711.50,725.20,706.00,711.80,713.712761251796970032,36172,1094,25816418.00,6395,17.68,19.20,0.30
19-April-2017,712.50,717.60,707.70,710.00,710.698773580003118016,38486,736,27351953.00,22953,59.64,9.90,-2.50
18-April-2017,711.60,729.00,708.00,711.15,718.823956533713913718,39939,1361,28709110.00,7515,18.82,21.00,-0.45
17-April-2017,715.00,716.35,705.00,708.00,708.265395203941172208,55212,980,39104749.00,31684,57.39,11.35,-7.00
13-April-2017,709.05,717.00,709.05,712.25,713.093223843563537543,16927,586,12070529.00,3428,20.25,7.95,3.20
12-April-2017,712.90,723.50,708.00,709.80,714.397200349956255468,34290,1069,24496680.00,5837,17.02,15.50,-3.10
11-April-2017,706.15,720.45,705.00,713.40,713.321020656136087484,28805,886,20547212.00,6985,24.25,15.45,7.25
10-April-2017,715.00,715.00,702.05,704.25,708.835586632696706525,107546,905,76232432.00,81864,76.12,12.95,-10.75
7-April-2017,718.75,718.80,709.05,711.55,714.298193411264612114,18820,716,13443092.00,6226,33.08,9.75,-7.20
6-April-2017,726.00,727.30,715.00,721.40,720.147157190635451505,16146,656,11627496.00,2339,14.49,12.30,-4.60
5-April-2017,733.00,737.95,723.00,726.55,729.118124290118448807,30815,891,22467775.00,9223,29.93,14.95,-6.45
3-April-2017,723.00,736.90,723.00,731.60,731.275302718757139593,30639,954,22405544.00,8192,26.74,13.90,8.60
31-March-2017,711.00,728.00,705.00,722.30,714.982475411498293169,59174,2001,42308373.00,19451,32.87,23.00,11.30
30-March-2017,722.25,724.75,712.40,716.20,721.324206708458768219,1052671,999,759317074.00,1035424,98.36,12.35,-6.05
29-March-2017,719.15,725.70,716.00,721.85,720.786184968434634348,21701,751,15641781.00,4554,20.99,9.70,2.70
28-March-2017,718.90,725.80,716.60,719.80,720.457081951681667456,21110,811,15208849.00,6110,28.94,9.20,0.90
27-March-2017,730.00,730.55,713.90,718.80,719.948705273964789535,26299,1241,18933931.00,6777,25.77,16.65,-11.20
24-March-2017,733.05,740.10,728.20,730.05,735.050856010091908451,27745,1068,20393986.00,8221,29.63,11.90,-3.00
23-March-2017,730.10,736.40,727.00,733.60,731.628254126509360806,36108,1386,26417633.00,9947,27.55,9.40,3.50
22-March-2017,746.00,746.15,725.00,727.80,731.042934804991557184,48562,1349,35500907.00,27406,56.44,21.15,-18.20
21-March-2017,762.00,767.00,742.00,746.35,751.009654601070609227,31384,1403,23569687.00,6872,21.90,25.00,-15.65
20-March-2017,763.00,768.95,757.00,761.10,761.456959749181612799,21689,981,16515240.00,5152,23.75,11.95,-1.90
17-March-2017,780.00,784.00,760.55,762.80,768.712228733632451240,43684,2257,33580425.00,15581,35.67,23.45,-17.20
16-March-2017,752.00,780.90,750.00,776.35,767.305495449364893212,60541,2074,46453442.00,19256,31.81,30.90,24.35
15-March-2017,747.00,760.00,738.00,752.00,751.336920930497423194,35121,1562,26387704.00,10334,29.42,22.00,5.00
14-March-2017,754.10,760.95,743.45,746.80,751.185340909090909090,17600,750,13220862.00,3591,20.40,17.50,-7.30
10-March-2017,762.95,762.95,748.45,751.20,755.559225979642817195,26821,1364,20264854.00,4768,17.78,14.50,-11.75
9-March-2017,745.20,757.00,743.00,752.60,750.695279317179725739,24721,982,18557938.00,6270,25.36,14.00,7.40
8-March-2017,753.50,756.75,744.00,745.85,747.811183961669398562,15862,862,11861781.00,2202,13.88,12.75,-7.65
7-March-2017,764.50,766.70,750.65,753.75,758.996648963075366717,31632,1171,24008582.00,7727,24.43,16.05,-10.75
6-March-2017,744.00,760.90,740.95,758.25,754.448347009438884409,84332,2203,63624138.00,22462,26.64,19.95,14.25
3-March-2017,732.00,747.00,730.30,744.05,738.599265329189036450,17695,687,13069514.00,3224,18.22,16.70,12.05
2-March-2017,747.00,750.00,730.00,732.00,737.573347771649013569,29551,1110,21796030.00,5866,19.85,20.00,-15.00
1-March-2017,736.95,747.85,735.00,741.40,741.331097112001963511,36669,1407,27183870.00,9832,26.81,12.85,4.45
28-February-2017,734.30,755.00,732.05,736.05,742.454237797999548770,79782,2597,59234484.00,9879,12.38,22.95,1.75
27-February-2017,743.00,745.00,728.00,730.35,733.528791535177278633,26935,1034,19757598.00,5030,18.67,17.00,-12.65
23-February-2017,745.00,753.95,738.40,742.10,745.378697823679631178,44249,1338,32982262.00,12615,28.51,15.55,-2.90
22-February-2017,750.00,759.00,737.00,741.20,748.152286148135650413,29635,1124,22171493.00,5881,19.84,22.00,-8.80
21-February-2017,749.00,757.25,746.50,750.20,750.681674649636331381,28185,979,21157963.00,5737,20.35,10.75,1.20
20-February-2017,754.00,761.10,745.40,749.05,752.105756858838666832,48186,1804,36240968.00,10692,22.19,15.70,-4.95
17-February-2017,713.00,756.00,712.00,751.05,749.595683379209219766,38873,1517,29139033.00,5472,14.08,44.00,38.05
16-February-2017,730.00,744.85,728.55,741.20,737.750524973751312434,26668,736,19674331.00,4477,16.79,16.30,11.20
15-February-2017,742.00,746.50,723.45,729.30,733.123951402950535146,34570,1370,25344095.00,8820,25.51,23.05,-12.70
14-February-2017,744.50,745.95,728.80,741.80,738.673974053481599152,37770,1412,27899716.00,3542,9.38,17.15,-2.70
13-February-2017,755.05,764.20,734.00,742.80,748.977810458929884510,46238,2223,34631236.00,10166,21.99,30.20,-12.25
10-February-2017,774.00,777.55,748.00,751.55,761.818997502927359169,70883,5797,54000016.00,23321,32.90,29.55,-22.45
9-February-2017,763.05,782.00,763.05,774.45,776.856821101840528784,129202,2995,100371455.00,26694,20.66,18.95,11.40
8-February-2017,748.10,764.00,748.10,760.05,756.347621241309992461,47756,1571,36120137.00,6714,14.06,15.90,11.95
7-February-2017,755.00,764.90,742.00,745.60,752.283113860887660688,89381,2484,67239817.00,22677,25.37,22.90,-9.40
6-February-2017,751.35,761.90,743.50,755.20,753.071088939122301036,76974,2679,57966894.00,6685,8.68,18.40,3.85
3-February-2017,757.00,767.45,746.05,749.10,754.693320875669923826,77061,2567,58157422.00,12637,16.40,21.40,-7.90
