Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-June-2017,81.05,84.85,80.80,84.20,82.963141657816214029,98865,1590,8202151.00,36923,37.35,4.05,3.15
31-May-2017,83.45,85.25,79.50,80.70,82.494534790722474006,71269,581,5879303.00,29908,41.96,5.75,-2.75
30-May-2017,83.30,84.50,82.95,84.00,83.579000819000819000,30525,701,2551249.00,14083,46.14,1.55,0.70
29-May-2017,84.30,85.00,82.00,83.30,83.115023957200388018,34019,335,2827490.00,15206,44.70,3.00,-1.00
26-May-2017,80.25,84.50,79.20,84.15,83.160431458219552157,65916,709,5481603.00,31376,47.60,5.30,3.90
25-May-2017,77.40,80.70,77.40,80.20,79.031837033422786045,57386,576,4535321.00,22143,38.59,3.30,2.80
24-May-2017,82.40,84.10,76.30,77.15,79.895569844852304503,70449,824,5628563.00,26102,37.05,7.80,-5.25
23-May-2017,84.20,84.90,80.70,81.85,82.284592254930285812,93453,1042,7689742.00,31464,33.67,4.20,-2.35
22-May-2017,85.25,85.50,83.90,84.60,84.651202942611567766,79929,569,6766086.00,21313,26.66,1.60,-0.65
19-May-2017,85.35,86.40,84.10,84.70,85.199080499653018736,69168,528,5893050.00,16674,24.11,2.30,-0.65
18-May-2017,85.10,86.80,83.45,84.65,85.101293014417317304,96828,862,8240188.00,26313,27.17,3.35,-0.45
17-May-2017,86.30,89.60,86.00,86.90,87.119902491720324648,140706,1002,12258293.00,42680,30.33,3.60,0.60
16-May-2017,81.50,91.00,81.50,88.65,87.329899544410912166,637197,4732,55646350.00,166992,26.21,9.50,7.15
15-May-2017,87.50,87.60,81.10,81.55,82.615329058624577226,227072,1622,18759628.00,71490,31.48,6.50,-5.95
12-May-2017,83.05,86.10,82.30,84.05,84.403631734307018648,142962,1190,12066512.00,45806,32.04,3.80,1.00
11-May-2017,83.15,84.00,82.35,82.65,83.044761201164660379,46022,435,3821886.00,17522,38.07,1.65,-0.50
10-May-2017,83.30,84.25,83.00,83.45,83.410760934325302861,65459,546,5459985.00,22746,34.75,1.25,0.15
9-May-2017,83.45,84.60,81.80,83.30,83.157200127718451768,84561,777,7031856.00,18980,22.45,2.80,-0.15
8-May-2017,83.00,84.10,82.05,82.90,83.013573482598250949,84503,653,7014896.00,31996,37.86,2.05,-0.10
5-May-2017,82.75,85.25,81.10,82.15,83.449276386169590053,198172,1406,16537310.00,59001,29.77,4.15,-0.60
4-May-2017,81.75,83.00,81.15,82.75,82.465904955725972748,296788,1689,24474891.00,127710,43.03,1.85,1.00
