Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-June-2017,3741.00,3813.10,3716.00,3734.55,3769.873431241655540720,18725,1896,70590880.00,2187,11.68,97.10,-6.45
31-May-2017,3725.00,3760.00,3720.55,3742.80,3741.613336456625283048,12807,1455,47918842.00,1914,14.94,39.45,17.80
30-May-2017,3674.00,3752.00,3663.60,3739.50,3710.540985905616716920,28522,2648,105832050.00,8101,28.40,88.40,65.50
29-May-2017,3617.00,3676.00,3595.05,3667.50,3641.801164529073884648,12709,1232,46283651.00,2276,17.91,80.95,50.50
26-May-2017,3625.00,3659.00,3606.55,3616.10,3637.643996834392790584,235026,1158,854940918.00,225991,96.16,52.45,-8.90
25-May-2017,3570.00,3635.00,3529.65,3615.75,3592.957384491469576041,13657,1382,49069019.00,3878,28.40,105.35,45.75
24-May-2017,3585.00,3604.90,3528.05,3562.80,3566.745877988458367683,9704,1248,34611702.00,1941,20.00,76.85,-22.20
23-May-2017,3590.00,3618.95,3563.65,3585.45,3583.586001193080135215,10058,1334,36043708.00,1731,17.21,55.30,-4.55
22-May-2017,3590.00,3640.25,3552.20,3564.50,3587.508215864542497289,11989,1333,43010636.00,2034,16.97,88.05,-25.50
19-May-2017,3590.00,3654.00,3539.15,3572.95,3597.862150662411759017,20682,1902,74410985.00,5911,28.58,114.85,-17.05
18-May-2017,3535.35,3640.00,3535.35,3596.10,3603.005628717077315208,9416,1237,33925901.00,2463,26.16,104.65,60.75
17-May-2017,3604.00,3680.70,3595.45,3642.75,3651.022501135378390652,24221,2274,88431416.00,6523,26.93,85.25,38.75
16-May-2017,3525.00,3631.50,3493.05,3619.00,3572.565299736495388669,24288,2198,86770466.00,6372,26.24,138.45,94.00
15-May-2017,3545.00,3556.95,3501.00,3517.30,3523.287968621727629298,10963,1243,38625806.00,2635,24.04,55.95,-27.70
12-May-2017,3465.00,3554.80,3462.15,3536.95,3513.329522553912797815,53095,3921,186540231.00,10667,20.09,92.65,71.95
11-May-2017,3360.00,3482.60,3295.50,3463.80,3408.937193079987822472,75549,6079,257541796.00,18378,24.33,187.10,103.80
10-May-2017,3288.00,3340.00,3271.90,3322.40,3304.421459854014598540,34250,4213,113176435.00,8645,25.24,68.10,34.40
9-May-2017,3409.95,3435.85,3280.00,3289.80,3332.789676096060165797,23402,2210,77993944.00,7694,32.88,155.85,-120.15
8-May-2017,3383.00,3409.90,3370.00,3393.85,3393.932329462989840348,5512,555,18707355.00,1738,31.53,39.90,10.85
5-May-2017,3376.55,3411.75,3341.00,3362.60,3382.524236983842010771,13925,1397,47101650.00,2947,21.16,70.75,-13.95
4-May-2017,3376.35,3410.00,3357.80,3394.10,3385.284177777777777777,11250,1323,38084447.00,4206,37.39,52.20,17.75
3-May-2017,3374.45,3381.00,3351.95,3368.15,3368.040590405904059040,10027,849,33771343.00,1935,19.30,29.05,-6.30
2-May-2017,3315.65,3382.00,3303.55,3351.00,3350.713051305130513051,16665,1721,55839633.00,4682,28.09,78.45,35.35
28-April-2017,3350.00,3350.00,3290.00,3310.70,3313.274719716766416589,11863,894,39305378.00,2670,22.51,60.00,-39.30
27-April-2017,3315.25,3360.05,3275.00,3297.15,3329.181228861330326944,14192,1540,47247740.00,3100,21.84,85.05,-18.10
26-April-2017,3310.00,3324.00,3270.05,3309.70,3293.446259351620947630,40100,2158,132067195.00,24443,60.96,53.95,-0.30
25-April-2017,3204.55,3315.00,3203.25,3305.70,3271.765770252324037184,24096,2321,78836468.00,7142,29.64,111.75,101.15
24-April-2017,3204.90,3218.85,3190.00,3204.55,3204.605434697243383334,12733,1043,40804241.00,4917,38.62,28.85,-0.35
21-April-2017,3212.45,3218.00,3191.50,3204.90,3204.630682831164200392,11218,1144,35949547.00,4040,36.01,26.50,-7.55
20-April-2017,3202.70,3215.00,3182.70,3201.25,3199.251608391608391608,7150,863,22874649.00,2034,28.45,32.30,-1.45
19-April-2017,3243.60,3243.60,3185.00,3204.60,3210.668563776364245061,11948,853,38361068.00,6454,54.02,58.60,-39.00
18-April-2017,3242.15,3258.90,3218.20,3223.95,3243.303167420814479638,11934,1557,38705580.00,5534,46.37,40.70,-18.20
17-April-2017,3210.00,3245.00,3210.00,3229.95,3232.559980273702379484,16222,3016,52438588.00,6144,37.87,35.00,19.95
13-April-2017,3221.40,3245.50,3212.00,3224.90,3227.631111111111111111,9000,1045,29048680.00,2591,28.79,33.50,3.50
12-April-2017,3210.95,3233.50,3200.60,3226.15,3221.243933588761174968,10962,931,35311276.00,3591,32.76,32.90,15.20
11-April-2017,3200.05,3224.25,3186.70,3201.35,3206.111068847470521110,13145,2267,42144330.00,7100,54.01,37.55,1.30
10-April-2017,3214.00,3226.95,3187.20,3199.45,3201.895248868778280542,8840,1025,28304754.00,3226,36.49,39.75,-14.55
7-April-2017,3207.90,3235.00,3200.00,3216.60,3218.728142076502732240,16836,1952,54190507.00,7619,45.25,35.00,8.70
6-April-2017,3190.00,3219.75,3180.00,3205.35,3201.821741370427614631,17469,1956,55932624.00,5245,30.02,39.75,15.35
5-April-2017,3205.00,3226.50,3191.00,3196.35,3203.326828306721860831,15219,1580,48751431.00,5776,37.95,35.50,-8.65
3-April-2017,3250.00,3263.95,3195.20,3204.70,3223.880355147150130386,16106,1298,51923817.00,3909,24.27,68.75,-45.30
31-March-2017,3206.05,3232.05,3200.00,3223.85,3215.352720918622066899,48072,2312,154568436.00,8618,17.93,32.05,17.80
30-March-2017,3210.00,3265.00,3202.65,3231.50,3243.485743865245250286,35739,3007,115918937.00,10331,28.91,62.35,21.50
29-March-2017,3328.05,3336.40,3180.00,3223.25,3284.863796823476728564,171949,6884,564829045.00,103495,60.19,156.40,-104.80
28-March-2017,3344.00,3356.90,3312.00,3328.05,3330.396111250943871130,15892,1991,52926655.00,5578,35.10,44.90,-15.95
27-March-2017,3375.00,3397.00,3311.60,3340.25,3342.895255671588044652,22216,2280,74265761.00,5902,26.57,85.40,-34.75
24-March-2017,3356.10,3385.00,3344.55,3376.60,3371.664627690859898835,17002,1853,57325042.00,8347,49.09,40.45,20.50
23-March-2017,3333.35,3378.00,3328.05,3366.55,3360.027743995135299483,13156,2084,44204525.00,4863,36.96,49.95,33.20
22-March-2017,3325.00,3338.80,3301.00,3310.55,3316.942796344974339717,15978,1437,52998112.00,7464,46.71,37.80,-14.45
21-March-2017,3341.05,3358.15,3330.00,3342.80,3341.513221153846153846,6656,733,22241112.00,1581,23.75,28.15,1.75
20-March-2017,3351.70,3366.90,3325.00,3337.65,3340.733233793704118452,8037,873,26849473.00,4439,55.23,41.90,-14.05
17-March-2017,3350.20,3374.80,3336.75,3345.25,3358.823156457276628950,10252,1303,34434655.00,2787,27.18,38.05,-4.95
16-March-2017,3367.00,3387.35,3341.10,3348.80,3362.570117207758531272,19282,2269,64837077.00,6691,34.70,46.25,-18.20
15-March-2017,3351.10,3406.00,3340.75,3399.25,3368.629758394656442394,562322,2961,1894254623.00,544361,96.81,65.25,48.15
14-March-2017,3351.00,3379.80,3348.00,3357.50,3360.375280599662811566,533233,4170,1791862992.00,509083,95.47,31.80,6.50
10-March-2017,3302.90,3326.95,3290.10,3311.60,3307.907841416641195783,101423,1395,335497937.00,92806,91.50,36.85,8.70
9-March-2017,3285.00,3297.85,3259.95,3273.70,3275.175964236457887478,21027,1845,68867125.00,10916,51.91,37.90,-11.30
8-March-2017,3331.00,3331.00,3258.50,3270.90,3281.912109968979989051,16441,2094,53957917.00,4222,25.68,72.50,-60.10
7-March-2017,3315.00,3320.00,3281.65,3299.40,3304.860706860706860706,8177,1022,27023846.00,1931,23.62,38.35,-15.60
6-March-2017,3275.95,3332.00,3274.60,3320.85,3305.177641251837849191,19044,3618,62943803.00,7952,41.76,57.40,44.90
3-March-2017,3223.95,3289.95,3209.40,3270.55,3242.902694136291600633,12620,1420,40925432.00,3414,27.05,80.55,46.60
2-March-2017,3203.00,3260.50,3191.05,3227.55,3238.858833715818054960,118959,2472,385291408.00,95394,80.19,69.45,24.55
1-March-2017,3149.05,3196.00,3149.05,3184.00,3182.449857830271216097,18288,1935,58200643.00,4599,25.15,46.95,34.95
28-February-2017,3172.10,3177.95,3129.95,3135.00,3147.027374038612462721,63710,1528,200497114.00,4185,6.57,48.00,-37.10
27-February-2017,3218.00,3218.00,3155.90,3168.35,3181.203656853725850965,17392,1759,55327494.00,4742,27.27,62.10,-49.65
23-February-2017,3150.00,3199.00,3149.55,3177.20,3177.946894155532329595,35401,3283,112502498.00,15752,44.50,49.45,27.20
22-February-2017,3118.05,3173.95,3111.85,3164.80,3136.805413170524666166,30629,4734,96077213.00,17579,57.39,62.10,46.75
21-February-2017,3107.35,3139.00,3090.50,3128.50,3108.464490039028824903,63799,1972,198316926.00,19588,30.70,48.50,21.15
20-February-2017,3086.10,3122.45,3081.00,3103.00,3103.989908503767491926,14864,1363,46137706.00,4066,27.35,41.45,16.90
17-February-2017,3126.10,3133.00,3074.00,3085.65,3093.771251059022874894,17705,2441,54775220.00,5531,31.24,59.00,-40.45
16-February-2017,3110.00,3158.00,3054.00,3126.10,3105.136524453694068678,19220,2375,59680724.00,3324,17.29,104.00,16.10
15-February-2017,3161.15,3165.00,3089.10,3098.40,3118.246367102957848088,19406,2898,60512689.00,7208,37.14,75.90,-62.75
14-February-2017,3233.85,3233.90,3146.50,3161.15,3166.119872560732775786,22599,2064,71551143.00,7710,34.12,87.40,-72.70
13-February-2017,3266.45,3272.55,3211.70,3226.40,3238.260537181636073750,24461,2600,79211091.00,11633,47.56,60.85,-40.05
10-February-2017,3265.00,3279.00,3244.00,3266.45,3265.640920096852300242,12390,1194,40461291.00,3841,31.00,35.00,1.45
9-February-2017,3273.00,3312.00,3228.00,3264.30,3263.333722838939431878,35943,2877,117294004.00,12564,34.96,84.00,-8.70
8-February-2017,3269.00,3282.25,3210.00,3223.80,3243.494256009214634294,32991,3639,107006119.00,7228,21.91,72.25,-45.20
7-February-2017,3270.00,3270.05,3227.50,3258.75,3249.347761928184948352,10165,1107,33029620.00,3684,36.24,42.55,-11.25
6-February-2017,3264.00,3284.50,3249.00,3262.80,3266.087228750321639934,23318,2924,76158622.00,10276,44.07,35.50,-1.20
3-February-2017,3227.00,3229.00,3202.00,3215.70,3215.616209686275945381,27317,4310,87840988.00,12220,44.73,27.00,-11.30
2-February-2017,3269.80,3291.55,3217.50,3226.00,3245.775740586408061216,39597,3541,128522982.00,10402,26.27,74.05,-43.80
1-February-2017,3194.00,3300.00,3170.05,3284.10,3238.899606831561648395,48071,3559,155697143.00,13200,27.46,129.95,90.10
31-January-2017,3210.00,3220.00,3153.75,3179.25,3183.975499881451039279,12653,1497,40286842.00,1862,14.72,66.25,-30.75
30-January-2017,3216.30,3216.30,3160.15,3196.85,3188.085465763123293213,19774,1693,63041202.00,4562,23.07,56.15,-19.45
27-January-2017,3235.00,3263.00,3201.05,3216.30,3224.738621597170819968,121590,2102,392095969.00,102844,84.58,61.95,-18.70
25-January-2017,3140.00,3265.00,3124.85,3240.35,3190.116070152514342881,48979,4971,156248695.00,19349,39.50,140.15,100.35
24-January-2017,3112.00,3141.45,3087.05,3133.25,3121.974599879827388430,18307,1972,57153989.00,9010,49.22,54.40,21.25
23-January-2017,3058.00,3108.90,3044.70,3099.55,3056.391866204086503627,117313,1719,358554499.00,103338,88.09,64.20,41.55
20-January-2017,3105.05,3120.00,3050.55,3056.60,3080.609873403726021338,18089,1560,55725152.00,6451,35.66,69.45,-48.45
19-January-2017,3104.00,3117.70,3068.00,3107.90,3092.648657519858202586,15233,1660,47110317.00,3566,23.41,49.70,3.90
18-January-2017,3141.00,3159.00,3077.00,3088.85,3112.218345456787079275,40555,3051,126216015.00,13840,34.13,82.00,-52.15
17-January-2017,3110.00,3155.00,3074.40,3131.65,3117.932217997465145754,19725,1697,61501213.00,7117,36.08,80.60,21.65
