Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-June-2017,1171.05,1212.00,1171.05,1205.65,1198.558922297082340631,141449,4383,169534961.00,66937,47.32,40.95,34.60
31-May-2017,1147.00,1174.95,1144.00,1167.90,1163.073809284513160835,666637,2133,775348035.00,21305,3.20,30.95,20.90
30-May-2017,1135.00,1155.00,1121.75,1143.90,1143.282165546871429224,43758,1739,50027741.00,8081,18.47,33.25,8.90
29-May-2017,1132.90,1149.40,1116.30,1134.75,1135.297954115421002838,50736,2685,57600477.00,14116,27.82,33.10,1.85
26-May-2017,1113.00,1140.00,1107.80,1132.25,1125.942249923367732706,48935,2127,55097984.00,13576,27.74,32.20,19.25
25-May-2017,1100.00,1120.00,1083.75,1110.10,1100.280926741286934380,75404,2365,82965583.00,22055,29.25,36.25,10.10
24-May-2017,1054.75,1097.90,1040.20,1084.60,1067.016796854319775528,207777,7510,221701549.00,12753,6.14,57.70,29.85
23-May-2017,1065.00,1065.00,1021.00,1043.90,1040.128372486325079935,37843,1438,39361578.00,5815,15.37,44.00,-21.10
22-May-2017,1070.00,1080.45,1058.00,1064.35,1071.051874694675134342,32752,1239,35079091.00,8256,25.21,22.45,-5.65
19-May-2017,1066.15,1091.80,1036.80,1056.25,1064.440482579982731664,42853,1665,45614468.00,6798,15.86,55.00,-9.90
18-May-2017,1101.00,1118.55,1049.00,1054.95,1075.514533989541679483,52016,2207,55943964.00,20441,39.30,69.55,-46.05
17-May-2017,1125.05,1129.45,1114.00,1123.30,1123.038029187483565606,30424,1764,34167309.00,9056,29.77,15.45,-1.75
16-May-2017,1125.05,1142.20,1121.45,1124.15,1131.370973298880275624,34830,1045,39405651.00,7923,22.75,20.75,-0.90
15-May-2017,1116.00,1130.00,1116.00,1121.70,1122.333436532507739938,29070,697,32626233.00,10189,35.05,14.00,5.70
12-May-2017,1140.00,1140.00,1108.60,1116.45,1119.890466654530007888,32958,1083,36909350.00,8149,24.73,31.40,-23.55
11-May-2017,1131.95,1152.00,1124.70,1129.05,1137.335130414973992938,79017,2526,89868810.00,18196,23.03,27.30,-2.90
10-May-2017,1112.50,1133.30,1112.50,1124.25,1127.051260448307207946,45103,1664,50833393.00,11285,25.02,20.80,11.75
9-May-2017,1100.00,1122.45,1096.45,1111.55,1112.621636534778798403,30809,1124,34278760.00,6511,21.13,26.00,11.55
8-May-2017,1100.05,1112.45,1087.30,1100.40,1100.869865189289012003,135375,1574,149030258.00,101949,75.31,25.15,0.35
5-May-2017,1114.00,1136.60,1090.00,1098.10,1115.812043640082961616,70394,2679,78546473.00,14418,20.48,46.60,-15.90
4-May-2017,1166.00,1171.00,1114.45,1119.80,1133.381600932154948775,90972,4334,103105991.00,27453,30.18,56.55,-46.20
3-May-2017,1150.00,1175.00,1144.45,1148.75,1161.906844066879047202,48027,2038,55802900.00,8436,17.57,30.55,-1.25
2-May-2017,1144.00,1166.70,1135.05,1160.00,1155.140195174427539572,52056,2298,60131978.00,10986,21.10,31.65,16.00
28-April-2017,1136.00,1157.05,1124.00,1144.00,1141.561227578899568606,52852,2095,60333794.00,10081,19.07,33.05,8.00
27-April-2017,1117.10,1146.00,1106.50,1133.90,1136.317945175306862097,99882,3620,113497709.00,17649,17.67,39.50,16.80
